star,source_id,sep_arcsec,vmag,gmag,bpmag,rpmag,e_gmag,e_bpmag,e_rpmag,bp_rp,bp_rp_excess,parallax,parallax_error,dist_pc,pmra,pmdec,ruwe,non_single_star,has_xp_continuous,has_xp_sampled,ruwe_binary,gaia_flags
HD164257,4474806789394684544,0.14,6.7,6.749215,6.802533,6.612589,0.00279,0.003232,0.004209,0.189944,1.168,4.426,0.025299999862909317,225.9,3.846,-4.771,0.918,0,yes,yes,no,
HD143459,4347852022889882624,0.39,5.53,5.504774,5.533168,5.414543,0.002864,0.003008,0.004367,0.118626,1.164,7.0311,0.07349999994039536,142.2,-15.544,-13.847,1.041,0,no,no,no,bright: check XP calibration
HD194453,4246840611198113024,0.06,6.753,6.743118,6.729423,6.72778,0.002772,0.002846,0.003836,0.001642,1.161,5.0802,0.03189999982714653,196.8,3.046,-2.979,0.891,0,yes,yes,no,
HD167946,4470930186283476736,0.28,7.35,7.329839,7.330527,7.292293,0.00278,0.002899,0.003832,0.038235,1.161,5.4479,0.0340999998152256,183.6,-8.737,-16.027,0.885,0,yes,yes,no,
HD147550,4358758216162768000,0.15,6.245,6.216174,6.245328,6.123021,0.002778,0.003044,0.00388,0.122307,1.165,7.1012,0.07729999721050262,140.8,-10.694,-6.556,1.802,0,yes,yes,yes,RUWE=1.80>1.4
HD074721,608373012147745920,1.86,8.71,8.691909,8.70682,8.630182,0.00277,0.002829,0.003797,0.076638,1.161,2.6595,0.02810000069439411,376.0,-40.459,-115.599,1.006,0,yes,yes,no,
HD072968,5753752736224380544,0.41,5.72,5.707087,5.697449,5.692188,0.002836,0.003013,0.004643,0.005261,1.158,9.6283,0.04809999838471413,103.9,-21.24,15.334,0.779,0,yes,yes,no,bright: check XP calibration
HD164967,4476214061198753280,0.29,7.0,7.187082,7.24141,7.053573,0.002776,0.002854,0.003831,0.187838,1.166,5.6393,0.2531999945640564,177.3,1.613,13.361,8.323,0,yes,yes,yes,RUWE=8.32>1.4
HD174240,4266584541504540928,0.35,6.236,6.223891,6.239851,6.161061,0.002809,0.003595,0.004414,0.078789,1.161,5.7778,0.04399999976158142,173.1,13.864,-16.049,1.037,0,no,no,no,
HD166991,4469871906338470528,0.08,6.821,6.811768,6.85156,6.709623,0.002802,0.002874,0.003839,0.141937,1.162,9.0905,0.03139999881386757,110.0,-2.659,-0.035,1.034,0,yes,yes,no,
HD117880,3603035836843409408,2.71,9.06,9.038842,9.069527,8.945834,0.002772,0.002822,0.003788,0.123693,1.164,2.6977,0.028200000524520874,370.7,-85.985,-139.179,1.189,0,yes,yes,no,
HD128801,1172688357148006912,1.37,8.73,8.720366,8.700208,8.725305,0.002792,0.002895,0.003863,-0.025097,1.158,3.1508,0.035599999129772186,317.4,0.849,-89.806,1.087,0,yes,yes,no,
HD106304,6149244697914619392,2.41,9.07,9.047831,9.054572,9.002323,0.002768,0.002817,0.003788,0.052249,1.16,2.6559,0.02239999920129776,376.5,-89.752,-115.985,0.958,0,yes,yes,no,
