wavelength_A_vacuum,flam,flam_err
3360.0,5.283574e-12,4.801453e-13
3380.0,5.285525e-12,3.991489e-13
3400.0,4.843705e-12,3.532938e-13
3420.0,4.391301e-12,3.368177e-13
3440.0,4.334550e-12,3.358070e-13
3460.0,4.413686e-12,3.475417e-13
3480.0,4.220560e-12,3.776869e-13
3500.0,3.782553e-12,4.121631e-13
3520.0,3.765300e-12,4.644158e-13
3540.0,4.340345e-12,5.019823e-13
3560.0,4.606603e-12,4.960884e-13
3580.0,4.232397e-12,4.419056e-13
3600.0,3.929130e-12,4.245734e-13
3620.0,3.894187e-12,4.100241e-13
3640.0,3.941264e-12,4.212848e-13
3660.0,3.834087e-12,4.455245e-13
3680.0,3.614366e-12,4.715617e-13
3700.0,3.572045e-12,5.168725e-13
3720.0,3.894816e-12,5.377350e-13
3740.0,4.426256e-12,5.989780e-13
3760.0,4.922317e-12,6.382043e-13
3780.0,5.475674e-12,6.933921e-13
3800.0,6.252361e-12,7.501434e-13
3820.0,7.193636e-12,7.551641e-13
3840.0,8.069391e-12,7.664182e-13
3860.0,8.667402e-12,7.200567e-13
3880.0,8.959538e-12,6.686371e-13
3900.0,9.003285e-12,6.155171e-13
3920.0,8.908026e-12,5.457828e-13
3940.0,8.739262e-12,5.118276e-13
3960.0,8.648065e-12,4.702580e-13
3980.0,8.764251e-12,4.288776e-13
4000.0,9.059338e-12,4.231358e-13
4020.0,9.393682e-12,3.977837e-13
4040.0,9.480532e-12,3.658886e-13
4060.0,9.222323e-12,3.728948e-13
4080.0,8.711560e-12,3.581822e-13
4100.0,8.191716e-12,3.215209e-13
4120.0,7.927002e-12,3.302131e-13
4140.0,8.082351e-12,3.361543e-13
4160.0,8.548504e-12,2.954957e-13
4180.0,9.095801e-12,2.834999e-13
4200.0,9.458601e-12,3.106556e-13
4220.0,9.461306e-12,2.917719e-13
4240.0,9.093131e-12,2.448994e-13
4260.0,8.499095e-12,2.564805e-13
4280.0,7.842576e-12,2.785212e-13
4300.0,7.310445e-12,2.439777e-13
4320.0,6.990362e-12,2.007719e-13
4340.0,6.887857e-12,2.221433e-13
4360.0,6.970516e-12,2.425787e-13
4380.0,7.174271e-12,2.093563e-13
4400.0,7.395459e-12,1.671534e-13
4420.0,7.576041e-12,1.852965e-13
4440.0,7.679959e-12,2.106548e-13
4460.0,7.702961e-12,1.899400e-13
4480.0,7.657694e-12,1.466421e-13
4500.0,7.564521e-12,1.465284e-13
4520.0,7.454063e-12,1.753506e-13
4540.0,7.347784e-12,1.750180e-13
4560.0,7.250389e-12,1.408454e-13
4580.0,7.177001e-12,1.156494e-13
4600.0,7.111174e-12,1.322140e-13
4620.0,7.056839e-12,1.501319e-13
4640.0,7.006531e-12,1.396118e-13
4660.0,6.941814e-12,1.094648e-13
4680.0,6.879283e-12,9.504603e-14
4700.0,6.785942e-12,1.098212e-13
4720.0,6.664644e-12,1.219430e-13
4740.0,6.509733e-12,1.135479e-13
4760.0,6.314994e-12,9.121417e-14
4780.0,6.086798e-12,7.749743e-14
4800.0,5.853049e-12,8.529945e-14
4820.0,5.617300e-12,9.591801e-14
4840.0,5.423556e-12,9.434949e-14
4860.0,5.274998e-12,8.064552e-14
4880.0,5.199938e-12,6.643625e-14
4900.0,5.200233e-12,6.482154e-14
4920.0,5.267432e-12,7.252361e-14
4940.0,5.369918e-12,7.679427e-14
