spectral_class,lum_class,ngsl_stars,miles_stars,pickles_templates,all_three
O,I,2,0,0,N
O,II,0,0,0,N
O,III,0,0,1,N
O,IV,0,0,0,N
O,V,3,0,2,N
O,none,2,0,0,N
B,I,5,10,5,Y
B,II,2,2,2,Y
B,III,12,15,4,Y
B,IV,12,11,2,Y
B,V,7,6,6,Y
B,none,5,12,0,N
A,I,3,11,2,Y
A,II,0,0,0,N
A,III,3,9,4,Y
A,IV,3,6,2,Y
A,V,12,30,5,Y
A,none,33,42,0,N
F,I,3,5,3,Y
F,II,2,6,2,Y
F,III,1,8,3,Y
F,IV,6,22,3,Y
F,V,18,119,9,Y
F,none,27,46,0,N
G,I,8,13,4,Y
G,II,3,9,1,Y
G,III,19,70,6,Y
G,IV,6,31,4,Y
G,V,15,75,8,Y
G,none,32,73,0,N
K,I,7,11,3,Y
K,II,4,10,2,Y
K,III,48,138,17,Y
K,IV,9,13,3,Y
K,V,18,47,7,Y
K,none,17,28,0,N
M,I,0,5,1,N
M,II,0,5,1,N
M,III,5,21,11,Y
M,IV,0,0,0,N
M,V,5,11,8,Y
M,none,4,8,0,N
