lam_center,lam_lo,lam_hi,width,depth_change
4410.13,4400.47,4419.78,19.32,-0.2461
4827.27,4824.90,4829.63,4.73,-0.1964
4550.74,4550.20,4551.29,1.09,-0.1581
4535.34,4534.84,4535.84,1.00,-0.1548
4390.85,4384.48,4397.21,12.73,-0.1450
4134.19,4128.73,4139.65,10.91,-0.1363
4287.62,4283.42,4291.82,8.40,-0.1328
4182.98,4172.73,4193.23,20.50,-0.1239
4482.50,4481.47,4483.53,2.06,-0.1213
6348.70,6347.94,6349.47,1.52,-0.1209
5057.54,5056.99,5058.10,1.11,-0.1192
4502.54,4502.22,4502.85,0.63,-0.1180
4516.65,4516.29,4517.01,0.72,-0.1170
4015.05,4013.29,4016.82,3.53,-0.1165
4299.81,4295.00,4304.63,9.63,-0.1130
4244.93,4233.93,4255.92,21.99,-0.1113
4581.43,4577.31,4585.55,8.25,-0.1106
5100.46,5098.32,5102.60,4.28,-0.1093
4050.71,4042.53,4058.90,16.36,-0.1090
4557.67,4555.12,4560.22,5.10,-0.1070
4315.14,4313.76,4316.53,2.76,-0.1062
4492.60,4489.36,4495.83,6.47,-0.1059
4541.97,4540.83,4543.11,2.27,-0.1057
5317.33,5314.78,5319.88,5.10,-0.1056
4949.28,4944.38,4954.18,9.80,-0.1032
4912.54,4908.22,4916.86,8.65,-0.1025
6158.79,6157.25,6160.33,3.08,-0.0972
4031.11,4022.93,4039.30,16.37,-0.0949
5228.43,5226.55,5230.31,3.76,-0.0941
5171.13,5167.61,5174.65,7.03,-0.0901
4309.11,4308.76,4309.45,0.69,-0.0897
7898.40,7897.85,7898.96,1.11,-0.0891
6457.10,6455.23,6458.98,3.75,-0.0889
6373.13,6372.62,6373.64,1.02,-0.0879
3514.47,3501.22,3527.72,26.50,-0.0873
4070.36,4062.79,4077.94,15.14,-0.0866
4620.40,4617.58,4623.22,5.64,-0.0854
4509.57,4509.25,4509.88,0.63,-0.0853
4436.52,4434.93,4438.12,3.19,-0.0846
4523.88,4521.17,4526.60,5.43,-0.0844
5042.59,5041.94,5043.25,1.31,-0.0837
4637.29,4635.07,4639.52,4.45,-0.0821
5005.92,5002.67,5009.17,6.51,-0.0814
5368.57,5364.00,5373.13,9.13,-0.0814
6249.25,6248.81,6249.68,0.87,-0.0811
4703.71,4702.67,4704.74,2.07,-0.0810
4573.23,4572.91,4573.56,0.64,-0.0808
4269.40,4259.16,4279.65,20.49,-0.0803
9064.09,9062.55,9065.63,3.08,-0.0798
4814.49,4812.09,4816.90,4.81,-0.0792
4567.20,4564.69,4569.71,5.02,-0.0791
5263.02,5248.23,5277.81,29.58,-0.0790
4591.43,4589.13,4593.72,4.59,-0.0778
9265.99,9262.84,9269.14,6.30,-0.0778
9408.66,9407.72,9409.60,1.88,-0.0774
9114.36,9113.81,9114.90,1.09,-0.0769
9079.52,9077.79,9081.24,3.45,-0.0761
9091.05,9090.51,9091.60,1.09,-0.0760
4671.22,4667.72,4674.73,7.01,-0.0760
5980.54,5980.18,5980.90,0.72,-0.0758
9097.33,9096.69,9097.97,1.27,-0.0754
4958.93,4958.54,4959.33,0.79,-0.0749
4005.03,4002.95,4007.11,4.17,-0.0738
4145.86,4144.45,4147.27,2.82,-0.0737
4163.81,4162.48,4165.14,2.66,-0.0734
4218.59,4216.44,4220.74,4.30,-0.0728
5191.66,5178.17,5205.16,27.00,-0.0726
5329.04,5325.42,5332.66,7.25,-0.0717
7004.00,7003.51,7004.49,0.98,-0.0710
5536.38,5535.99,5536.77,0.78,-0.0689
5020.66,5016.99,5024.32,7.33,-0.0678
9395.41,9394.94,9395.88,0.94,-0.0674
4454.13,4451.45,4456.80,5.34,-0.0665
4892.63,4889.99,4895.28,5.28,-0.0665
