target,file,ra,dec,hipparcos,obsdate,sptype,bmag,vmag,teff,logg,logz,alpha,fit_quality,fit_rms,offset_px,dataqual,minwave,maxwave,maxflux
BD+112998,h_stis_ngsl_bd+112998_v2.fits,247.569828987,10.997630909,80822,2004-04-10,F8,9.70,9.07,5876.,2.8,-0.6,n,1,0.022,-0.335,good,1675.51397211,10198.7065634,9.43783e-13
BD+363168,h_stis_ngsl_bd+363168_v2.fits,278.083611943,36.9987913701,90883,2004-06-08,C...,11.69,8.02,,,,,3,,-0.05,good,1675.71706922,10198.8602186,4.05693e-11
BD+381670,h_stis_ngsl_bd+381670_v2.fits,105.770192104,38.14198077,33982,2003-10-29,G0,10.09,9.45,,,,,,,-0.46,good,1675.37680935,10195.9953637,7.19106e-13
BD+413306,h_stis_ngsl_bd+413306_v2.fits,289.752446593,41.6338746227,94931,2004-02-12,K0V,9.67,8.83,5156.,4.5,-0.3,n,1,0.027,0.345,good,1676.37175165,10195.1347301,1.14918e-12
BD+75D325,h_stis_ngsl_bd+75d325_v2.fits,122.706214064,74.9660885368,40047,2003-01-15,O5pv,9.214,9.548,,,,,,,0.0,good,1676.13902539,10196.8886135,3.60288e-11
BD-122669,h_stis_ngsl_bd-122669_v2.fits,131.664709177,-13.3571560289,43099,2002-02-08,A5,10.545,10.235,6960.,4.1,-1.9,a,1,0.018,0.62,good,1675.25992335,10197.8917031,4.65109e-13
BD092860,h_stis_ngsl_bd092860_v2.fits,213.332296086,8.61109304655,69468,2002-01-06,,11.27,10.74,5926.,3.5,-0.7,a,1,0.030,0.935,suspect,1675.85923862,10199.0601924,1.69229e-13
BD174708,h_stis_ngsl_bd174708_v2.fits,332.881027571,18.0928446439,109558,2001-12-31,sdF8,9.886,9.454,6174.,3.8,-1.9,a,1,0.018,0.835,good,1676.08762364,10195.2363133,7.44564e-13
BD292091,h_stis_ngsl_bd292091_v2.fits,161.846635468,28.3983647635,52771,2002-02-17,F5,10.72,10.22,5803.,4.6,-2.0,a,1,0.017,0.87,good,1676.30793779,10197.1509061,3.2645e-13
BD371458,h_stis_ngsl_bd371458_v2.fits,94.0063942917,37.7216684323,29759,2002-01-22,G0,9.51,8.92,5463.,3.1,-2.0,a,1,0.015,0.93,suspect,1676.19716351,10196.7669475,1.03674e-12
BD413931,h_stis_ngsl_bd413931_v2.fits,313.819853055,42.2999572721,103269,2002-02-16,G5,10.86,10.33,5486.,4.7,-1.8,a,1,0.019,0.775,good,1676.27438293,10199.2227127,3.10861e-13
BD423607,h_stis_ngsl_bd423607_v2.fits,302.255996794,42.8654670555,99267,2002-01-27,F3,10.61,10.13,5963.,4.5,-2.0,a,1,0.022,0.94,suspect,1675.58110939,10196.1824261,3.55547e-13
BD442051,h_stis_ngsl_bd442051_v2.fits,166.365452978,43.5273561028,54211,2002-02-22,M2V,10.22,8.68,3741.,4.9,-0.3,n,2,0.072,-0.115,good,1675.71758036,10199.3930424,2.73746e-12
BD511696,h_stis_ngsl_bd511696_v2.fits,176.645653686,50.8815207008,57450,2002-02-26,sdG0,10.45,9.90,5776.,4.5,-1.3,a,1,0.020,0.845,good,1675.38236006,10197.6441207,4.52074e-13
BD592723,h_stis_ngsl_bd592723_v2.fits,351.637368523,60.6285657373,115704,2002-01-16,F2,10.92,10.47,6419.,4.4,-2.0,a,1,0.020,0.695,good,1675.69324666,10197.7622403,2.99518e-13
BD660268,h_stis_ngsl_bd660268_v2.fits,52.8242819295,66.72963193,16404,2002-02-23,G0,10.53,9.88,5453.,4.7,-1.8,a,1,0.030,1.07,suspect,1675.30385582,10198.85193,3.80353e-13
BD720094,h_stis_ngsl_bd720094_v2.fits,26.8011465271,73.4743254796,8314,2002-02-21,sdF2:,10.33,9.95,6286.,3.9,-2.0,a,1,0.016,0.62,good,1676.25045773,10196.1540644,5.14e-13
CD-259286,h_stis_ngsl_cd-259286_v2.fits,187.627052956,-26.0475103548,61031,2003-07-19,A5,10.82,10.7,6426.,3.0,-1.2,a,1,0.018,0.835,good,1676.23492866,10195.2617706,1.97368e-13
CD-3018140,h_stis_ngsl_cd-3018140_v2.fits,311.026147531,-30.0023088375,102337,2002-04-07,F8,10.36,9.95,6334.,3.9,-2.0,a,1,0.015,1.0,suspect,1675.73263584,10196.8478368,4.74507e-13
CD-621346,h_stis_ngsl_cd-621346_v2.fits,316.51214286,-61.5625120157,104151,2004-05-30,G5,10.55,9.85,5652.,3.2,-0.6,n,1,0.023,-0.56,good,1675.12389402,10197.008291,4.73892e-13
CD-691618,h_stis_ngsl_cd-691618_v2.fits,258.137096291,-70.0857126525,84185,2004-05-11,B2p,9.19,9.32,,,,,3,,-0.85,good,1675.29145308,10197.2478545,1.16227e-11
G019-013,h_stis_ngsl_g019-013_v2.fits,256.263633456,-5.06719432241,83591,2002-02-16,K5V,8.89,7.73,4452.,4.6,-0.3,n,1,0.027,0.64,good,1675.24536577,10195.8262983,3.90765e-12
G021-024,h_stis_ngsl_g021-024_v2.fits,281.863482005,-3.63999569647,92200,2002-02-23,K5,10.10,8.81,4230.,4.7,-0.1,n,2,0.037,0.835,good,1676.32320111,10196.8821093,1.47516e-12
G029-023,h_stis_ngsl_g029-023_v2.fits,349.918685238,3.3712152525,115167,2001-12-24,F5,10.67,10.19,6176.,3.7,-2.0,a,1,0.019,0.765,good,1675.87163571,10195.9507882,4.95865e-13
G114-26,h_stis_ngsl_g114-26_v2.fits,134.792326504,-4.02713131276,44124,2002-01-13,F3,10.114,9.648,6144.,4.1,-1.8,a,1,0.019,0.67,good,1676.3038013,10197.2533087,6.25487e-13
G115-58,h_stis_ngsl_g115-58_v2.fits,137.700412187,46.3767449735,45069,2002-02-25,sd:G,12.54,12.08,6156.,3.7,-1.6,a,1,0.023,0.6,good,1675.85403221,10195.8027445,6.47088e-14
G12-21,h_stis_ngsl_g12-21_v2.fits,183.00557003,13.2610323031,59490,2002-02-22,F2,10.630,10.162,6034.,4.1,-1.4,a,1,0.020,0.695,good,1675.35229756,10198.2833584,3.74257e-13
G13-35,h_stis_ngsl_g13-35_v2.fits,186.395660359,1.283683221,60632,2002-02-27,sdF5,10.10,9.66,6164.,3.9,-1.8,a,1,0.016,0.345,good,1675.24983016,10199.6112727,6.58189e-13
G169-28,h_stis_ngsl_g169-28_v2.fits,252.547686685,22.3137128685,82398,2001-09-11,,11.75,11.02,5749.,3.9,-1.5,a,1,0.019,1.095,suspect,1675.70484289,10198.0060425,1.27364e-13
G17-25,h_stis_ngsl_g17-25_v2.fits,248.67638929,-4.22948959645,81170,2002-02-15,F8,10.37,9.63,5289.,4.6,-1.0,a,1,0.022,0.82,good,1676.28970887,10198.9859401,5.63236e-13
G18-39,h_stis_ngsl_g18-39_v2.fits,334.652267397,8.44577507851,110140,2002-01-02,G0,10.84,10.38,5952.,3.6,-1.7,a,1,0.017,0.5,good,1676.3622262,10196.8983958,3.20719e-13
G18-54,h_stis_ngsl_g18-54_v2.fits,337.900921758,2.16201780203,111195,2001-09-11,sd:F7,11.24,10.75,5920.,3.8,-1.7,a,1,0.022,0.715,good,1675.06847415,10199.8004196,2.23086e-13
G180-24,h_stis_ngsl_g180-24_v2.fits,240.805198087,42.2460269795,78640,2002-06-23,F5,10.33,9.85,6109.,4.0,-1.5,a,1,0.018,0.405,good,1675.60728051,10195.8002637,5.21921e-13
G187-40,h_stis_ngsl_g187-40_v2.fits,320.490698849,27.4529489491,105488,2001-10-24,G0,11.04,10.45,5776.,4.0,-1.6,a,1,0.017,0.895,good,1675.82327761,10197.7098036,2.59571e-13
G188-22,h_stis_ngsl_g188-22_v2.fits,325.987842679,27.3898988478,107294,2002-04-06,F8,10.52,10.15,5926.,3.9,-1.5,a,1,0.016,0.71,good,1675.58649691,10199.9705175,4.17133e-13
G188-30,h_stis_ngsl_g188-30_v2.fits,328.817694558,32.6448512864,108200,2001-09-12,sd:G2,11.69,11.03,5497.,4.6,-1.2,a,1,0.030,1.0,suspect,1675.62534667,10196.7133983,1.31209e-13
G192-43,h_stis_ngsl_g192-43_v2.fits,101.937202772,58.6426353073,32567,2002-02-27,sd:F2,10.75,10.32,6163.,3.9,-1.6,a,1,0.017,0.885,good,1675.36210202,10199.0482184,3.51781e-13
G194-22,h_stis_ngsl_g194-22_v2.fits,124.844024744,54.0856271519,40778,2002-02-19,sdF6,10.19,9.71,6193.,4.1,-1.6,a,1,0.018,0.97,suspect,1675.2077538,10195.4229543,5.72966e-13
G196-48,h_stis_ngsl_g196-48_v2.fits,162.735702695,53.2474302994,53025,2002-02-08,G,10.85,10.43,5704.,3.4,-1.9,a,1,0.013,0.795,good,1675.64104598,10197.5441768,3.61337e-13
G20-15,h_stis_ngsl_g20-15_v2.fits,266.866684932,-8.78012979147,87062,2002-02-11,F8,11.18,10.59,6089.,4.1,-1.8,a,1,0.017,0.81,good,1675.02106946,10197.1266219,2.50243e-13
G202-65,h_stis_ngsl_g202-65_v2.fits,248.993946812,45.8665508372,81276,2002-02-10,sd:F3,11.58,11.06,6989.,4.4,-1.0,a,1,0.028,0.915,suspect,1675.30226081,10198.7718215,1.36235e-13
G231-52,h_stis_ngsl_g231-52_v2.fits,324.8168171,60.2839956537,106924,2002-05-05,G1,10.96,10.39,5426.,4.7,-2.0,a,1,0.023,0.995,suspect,1675.60201133,10199.902426,2.73093e-13
G234-28,h_stis_ngsl_g234-28_v2.fits,123.568095094,68.9219362599,40347,2001-11-01,G0,11.55,11.07,6097.,3.9,-1.6,a,1,0.019,0.7,good,1675.54368941,10197.8270231,1.64921e-13
G24-3,h_stis_ngsl_g24-3_v2.fits,301.434585935,4.04789083195,98989,2002-04-29,sd:F8,10.92,10.44,6053.,3.9,-1.8,a,1,0.018,0.58,good,1675.75265845,10196.0569408,2.93384e-13
