target,sptype,teff,vmag,in_miles,miles_id,miles_sep,miles_teff,miles_logg,miles_feh,miles_ebv,in_mastar,mastar_id,mastar_sep
BD+112998,F8,5876.,9.07,Y,BD+112998,0.39,5373.0,2.3,-1.36,0.024,N,,
BD+363168,C...,,8.02,N,,,,,,,N,,
BD+381670,G0,,9.45,N,,,,,,,N,,
BD+413306,K0V,5156.,8.83,N,,,,,,,N,,
BD+75D325,O5pv,,9.548,N,,,,,,,N,,
BD-122669,A5,6960.,10.235,Y,BD-122669,0.81,6910.0,4.0,-1.49,0.01,N,,
BD092860,,5926.,10.74,N,,,,,,,N,,
BD174708,sdF8,6174.,9.454,N,,,,,,,N,,
BD292091,F5,5803.,10.22,N,,,,,,,N,,
BD371458,G0,5463.,8.92,Y,BD+371458,0.81,5200.0,3.0,-2.1,0.037,N,,
BD413931,G5,5486.,10.33,N,,,,,,,N,,
BD423607,F3,5963.,10.13,N,,,,,,,N,,
BD442051,M2V,3741.,8.68,N,,,,,,,N,,
BD511696,sdG0,5776.,9.90,Y,BD+511696,2.2,5640.0,4.8,-1.37,0.005,N,,
BD592723,F2,6419.,10.47,Y,BD+592723,0.95,6112.0,4.17,-2.02,0.03,N,,
BD660268,G0,5453.,9.88,Y,BD+660268,3.44,5381.0,4.56,-1.98,0.0,N,,
BD720094,sdF2:,6286.,9.95,Y,BD+720094,0.58,6056.0,4.46,-1.71,0.135,N,,
CD-259286,A5,6426.,10.7,N,,,,,,,N,,
CD-3018140,F8,6334.,9.95,N,,,,,,,N,,
CD-621346,G5,5652.,9.85,N,,,,,,,N,,
CD-691618,B2p,,9.32,N,,,,,,,N,,
G019-013,K5V,4452.,7.73,N,,,,,,,N,,
G021-024,K5,4230.,8.81,N,,,,,,,N,,
G029-023,F5,6176.,10.19,N,,,,,,,N,,
G114-26,F3,6144.,9.648,Y,BD-032525,1.38,5750.0,3.6,-1.9,0.0,N,,
G115-58,sd:G,6156.,12.08,N,,,,,,,N,,
G12-21,F2,6034.,10.162,Y,HD106038,1.01,5940.0,4.32,-1.43,0.0,N,,
G13-35,sdF5,6164.,9.66,Y,HD108177,1.05,6065.0,4.26,-1.68,0.0,N,,
G169-28,,5749.,11.02,N,,,,,,,N,,
G17-25,F8,5289.,9.63,N,,,,,,,N,,
G18-39,G0,5952.,10.38,N,,,,,,,N,,
G18-54,sd:F7,5920.,10.75,N,,,,,,,N,,
G180-24,F5,6109.,9.85,N,,,,,,,N,,
G187-40,G0,5776.,10.45,N,,,,,,,N,,
G188-22,F8,5926.,10.15,N,,,,,,,N,,
G188-30,sd:G2,5497.,11.03,N,,,,,,,N,,
G192-43,sd:F2,6163.,10.32,N,,,,,,,N,,
G194-22,sdF6,6193.,9.71,Y,HD233511,1.34,5900.0,4.2,-1.7,0.0,N,,
G196-48,G,5704.,10.43,N,,,,,,,N,,
G20-15,F8,6089.,10.59,N,,,,,,,N,,
G202-65,sd:F3,6989.,11.06,N,,,,,,,N,,
G231-52,G1,5426.,10.39,N,,,,,,,N,,
G234-28,G0,6097.,11.07,N,,,,,,,N,,
G24-3,sd:F8,6053.,10.44,N,,,,,,,N,,
G243-62,K2,4693.,11.52,N,,,,,,,N,,
G260-36,K2,5057.,11.06,N,,,,,,,N,,
G262-14,G8,5085.,11.30,N,,,,,,,N,,
G63-26,sd:F,6123.,12.18,N,,,,,,,N,,
G88-27,sd:F8,6141.,10.727,N,,,,,,,N,,
GJ825,M0V,4015.,6.68,N,,,,,,,N,,
GL109,M3.5V,,10.58,N,,,,,,,N,,
GL15B,M3.5,3741.,11.04,N,,,,,,,N,,
HD000319,A1V,8195.,5.942,Y,HD000319,0.41,8140.0,3.8,-0.7,0.012,N,,
HD000358,B8IVmnp...,,2.06,N,,,,,,,N,,
HD000886,B2IV,,2.83,Y,HD000886,0.01,21581.0,3.86,0.06,0.015,N,,
HD001461,G0V,5790.,6.46,Y,HD001461,1.89,5808.0,4.39,0.2,0.044,N,,
HD002665,G5IIIw,5082.,7.75,Y,HD002665,0.14,5013.0,2.35,-1.96,0.051,N,,
HD002857,A2,7708.,9.95,Y,HD002857,0.19,7450.0,2.6,-1.6,,N,,
HD003360,B2IV,,3.666,Y,HD003360,0.05,21170.0,3.92,0.12,0.043,N,,
HD003712,K0IIIa,4603.,2.252,N,,,,,,,N,,
HD004128,K0III,4815.,2.04,N,,,,,,,N,,
HD004727,B5V+...,,4.524,N,,,,,,,N,,
HD004813,F7IV-V,6252.,5.19,N,,,,,,,N,,
HD005256,G5,5176.,8.767,N,,,,,,,N,,
HD005395,G8IIIb,4808.,4.632,Y,HD005395,0.39,4797.0,2.55,-0.7,0.0,N,,
HD005544,K0IIIp...,4474.,7.64,N,,,,,,,N,,
HD005916,G8III-IV,4926.,6.874,Y,HD005916,0.45,4863.0,2.5,-0.8,0.0,N,,
HD006229,G5IIIw,5489.,8.60,Y,HD006229,0.2,5133.0,2.39,-1.08,0.0,N,,
HD006734,K0IV,4904.,6.46,N,,,,,,,N,,
HD006755,F8V,5064.,7.73,Y,HD006755,1.17,5102.0,2.4,-1.41,0.06,N,,
HD008491,K0III,4688.,4.731,N,,,,,,,N,,
HD008724,G5,4552.,8.34,Y,HD008724,0.21,4688.0,1.49,-1.69,0.02,N,,
HD008890,F7:Ib-IIv,,2.005,N,,,,,,,N,,
HD009051,G7IIIw...,4842.,8.92,N,,,,,,,N,,
HD010380,K3IIIb,4063.,4.448,Y,HD010380,0.05,4057.0,1.43,-0.25,0.025,N,,
HD010780,K0V,5357.,5.63,Y,HD010780,2.88,5392.0,4.6,0.1,,N,,
HD012533,K3IIb...,4225.,2.26,N,,,,,,,N,,
HD013520,K4III,3920.,4.844,Y,HD013520,0.06,3961.0,1.55,0.3,0.02,N,,
HD015089,A5p...,8823.,4.53,N,,,,,,,N,,
HD016031,F0V,6299.,9.78,Y,HD016031,0.31,6030.0,4.05,-1.72,0.0,N,,
HD017072,G2w...,5709.,6.593,N,,,,,,,N,,
HD017081,B7IV,13057.,4.235,Y,HD017081,0.18,13320.0,3.64,0.03,0.0,N,,
HD017361,K1.5III,4603.,4.51,Y,HD017361,0.31,4551.0,2.44,0.04,0.02,N,,
HD017925,K1V,5208.,6.00,N,,,,,,,N,,
HD018078,A0p,7404.,8.30,N,,,,,,,N,,
HD018769,A3m,8382.,5.919,N,,,,,,,N,,
HD018907,G5IV,5309.,5.85,Y,HD018907,2.1,5009.0,3.6,-0.75,0.069,N,,
HD019019,F8,6197.,6.76,N,,,,,,,N,,
HD019308,G0,5842.,7.360,N,,,,,,,N,,
HD019445,A4p,6200.,8.05,Y,HD019445,1.82,5918.0,4.35,-2.05,0.0,N,,
HD019656,K0III,4563.,4.614,N,,,,,,,N,,
HD019787,K2III,4771.,4.350,N,,,,,,,N,,
HD020039,F8,5200.,8.861,N,,,,,,,N,,
HD020630,G5Vv,5687.,4.83,Y,HD020630,1.03,5591.0,4.4,0.03,0.0,N,,
HD021742,K1IV,5342.,8.058,N,,,,,,,N,,
HD022049,K2V,5130.,3.73,Y,HD022049,1.69,5052.0,4.57,-0.15,0.003,N,,
HD022484,F9IV-V,6141.,4.28,Y,HD022484,2.09,5993.0,4.03,-0.1,0.0,N,,
HD023439,K1V,5249.,8.18,N,,,,,,,N,,
HD025329,K1V...,4930.,8.504,Y,HD025329,4.59,4787.0,4.58,-1.72,0.0,N,,
HD025893,G5,5342.,7.08,N,,,,,,,N,,
HD025975,K1III,4942.,6.09,N,,,,,,,N,,
HD026297,G5/G6IVw,4423.,7.47,Y,HD026297,0.06,4316.0,1.06,-1.67,0.017,N,,
HD026630,G0Ib,4542.,4.18,N,,,,,,,N,,
HD027295,B9IV,11548.,5.490,Y,HD027295,0.2,11704.0,3.93,-0.74,0.0,N,,
HD028946,K0,5389.,7.93,Y,HD028946,0.69,5162.0,4.39,-0.26,0.001,N,,
HD028978,A2Vs,8749.,5.681,Y,HD028978,0.04,9164.0,3.7,0.14,0.117,N,,
HD029391,F0V,7522.,5.223,N,,,,,,,N,,
HD029574,G9IIIw...,4049.,8.38,N,,,,,,,N,,
HD030614,O9.5Iae,,4.301,N,,,,,,,N,,
HD030834,K3III,4008.,4.787,Y,HD030834,0.05,4115.0,1.73,-0.21,0.026,N,,
HD031219,F8,6087.,8.118,N,,,,,,,N,,
HD031421,K2IIIb,4434.,4.087,N,,,,,,,N,,
HD033793,M1V,,8.89,N,,,,,,,N,,
HD034078,O9.5Ve...,,5.998,N,,,,,,,N,,
HD034797,B8/B9IV:,12884.,6.54,N,,,,,,,N,,
HD034816,B0.5IV,,4.270,N,,,,,,,N,,
HD036702,K0,4319.,8.38,N,,,,,,,N,,
HD036960,B0.5V,,4.78,N,,,,,,,N,,
HD037202,B2IV,,3.03,N,,,,,,,N,,
HD037216,G5,5437.,7.84,N,,,,,,,N,,
HD037763,K2III,4597.,5.17,N,,,,,,,N,,
HD037828,K0,4359.,6.877,Y,HD037828,0.35,4296.0,1.14,-1.38,0.02,N,,
HD038237,A3,8100.,7.7,N,,,,,,,N,,
HD038510,F5/F6V,5897.,8.25,N,,,,,,,N,,
HD039587,G0V,6057.,4.41,N,,,,,,,N,,
HD039833,G0III,5926.,7.66,Y,HD039833,0.32,5761.0,3.85,0.29,0.01,N,,
HD040573,A0,10200.,7.46,N,,,,,,,N,,
HD041357,A4m,7578.,5.353,N,,,,,,,N,,
HD041661,F2,6360.,7.44,N,,,,,,,N,,
HD041667,G8V,4623.,8.52,N,,,,,,,N,,
HD043042,F6V,6542.,5.20,Y,HD043042,0.39,6569.0,4.22,0.08,0.0,N,,
HD044007,G5IV:w...,4930.,8.06,Y,HD044007,0.26,4969.0,2.26,-1.47,0.0,N,,
HD045282,G0,5199.,8.02,Y,HD045282,0.24,5348.0,3.24,-1.44,0.0,N,,
HD046703,F7IVw,6484.,9.09,Y,HD046703,0.1,6000.0,0.4,-1.62,0.1,N,,
HD047839,O7Ve,,4.66,N,,,,,,,N,,
HD048279,O8V,,7.98,N,,,,,,,N,,
HD050420,A9III,7167.,6.161,Y,HD050420,0.01,7412.0,3.4,0.3,0.036,N,,
HD052089,B2Iab:,,1.513,N,,,,,,,N,,
HD052973,G0Ibv,,4.01,Y,HD052973,0.14,5659.0,1.37,0.34,0.202,N,,
HD055057,F2V,7289.,5.437,N,,,,,,,N,,
HD055496,GII:wp...,4978.,8.40,Y,HD055496,0.03,4800.0,2.8,-1.55,0.02,N,,
HD057060,O7e...,,4.98,Y,HD057060,0.04,35950.0,3.2,,0.17,N,,
HD057061,O9Ib,,4.39,Y,HD057061,0.05,32300.0,3.0,,0.142,N,,
HD057727,G8III,4942.,5.035,N,,,,,,,N,,
HD058343,B2Vne,,5.20,N,,,,,,,N,,
HD058551,F6V,6311.,6.54,Y,HD058551,1.21,6165.0,4.18,-0.55,0.0,N,,
HD059612,A6Ib/II,,4.84,Y,HD059612,0.04,8330.0,1.45,0.08,0.092,N,,
HD060319,F8,5926.,8.95,N,,,,,,,N,,
HD061064,F6III,6600.,5.143,Y,HD061064,0.36,6495.0,3.2,0.4,0.02,N,,
HD061603,K5III,3841.,5.932,Y,HD061603,0.2,3870.0,1.5,0.24,0.038,N,,
HD062412,K1III,4876.,5.635,N,,,,,,,N,,
HD063077,G0V,5926.,5.37,N,,,,,,,N,,
HD063700,G6Ia,4498.,3.337,N,,,,,,,N,,
HD063791,G0,4778.,7.92,Y,HD063791,0.24,4629.0,1.76,-1.63,0.03,N,,
HD064412,G0,5742.,8.757,N,,,,,,,N,,
HD065228,F7/F8II,5926.,4.204,Y,HD065228,0.1,6115.0,1.7,0.52,0.143,N,,
HD065354,K3III,3897.,6.842,N,,,,,,,N,,
HD065714,G8III,4882.,5.868,Y,HD065714,0.09,4840.0,1.5,0.27,0.038,N,,
HD067390,F2,7193.,9.45,N,,,,,,,N,,
