star,grating,family,sampling,beta,box,cont_rms,core_mean,core_peak,core_rms,extra_fwhm,frac2,fwhm,fwhm1,fwhm2,kernel_fwhm_A,n_core,n_par,n_pix,rms,shift_A,wing_10A,wing_20A,wing_4px
HD143459,G430L,stis,rebin,,,0.91076,8.69572,18.11675,10.89042,,,,,,4.0404,36,0,674,2.66832,-0.12,0.0,0.0,0.0
HD143459,G430L,stis_gauss,rebin,,,0.82008,0.19836,-10.80111,2.62417,5.5219,,,,,7.2762,36,1,674,1.00221,-0.1295,0.00209,0.0,0.00073
HD143459,G430L,stis_tophat,rebin,,7.7588,0.84758,0.3888,-10.29906,2.76393,,,,,,8.1517,36,1,674,1.0431,-0.1294,0.00056,0.0,8e-05
HD143459,G430L,stis05,rebin,,,0.73247,3.00781,-13.51781,4.95938,,,,,,4.0432,36,0,674,1.34965,-0.144,0.02556,0.0,0.01794
HD143459,G430L,stis2,rebin,,,1.10996,-2.10922,-13.74899,4.68555,,,,,,4.0453,36,0,674,1.52933,-0.1465,0.08753,0.04046,0.08038
HD143459,G430L,stis2_gauss,rebin,,,1.10994,-2.10961,-13.74849,4.68568,0.0501,,,,,4.0462,36,1,674,1.52933,-0.1466,0.08753,0.04046,0.08038
HD143459,G430L,stis2_tophat,rebin,,0.0501,1.10994,-2.10926,-13.74852,4.68563,,,,,,4.0453,36,1,674,1.52933,-0.1466,0.08753,0.04046,0.08038
HD143459,G430L,gauss,rebin,,,0.82619,0.20698,-10.68106,2.73494,,,7.3069,,,7.307,36,1,674,1.02257,-0.09,0.00127,0.0,0.0004
HD143459,G430L,moffat,rebin,2.0592,,0.72507,-0.02353,-12.13204,2.62183,,,5.3428,,,5.343,36,2,674,0.92995,-0.0892,0.02305,0.00305,0.01781
HD143459,G430L,gauss2,rebin,,,0.72648,-0.05099,-11.28007,2.46322,,0.0402,,6.6066,63.0194,6.6274,36,3,674,0.90756,-0.0879,0.02873,0.01817,0.02738
HD143459,G430L,gauss_tophat,rebin,,0.0601,0.82618,0.20756,-10.68093,2.73498,,,7.3066,,,7.3068,36,2,674,1.02257,-0.0901,0.00127,0.0,0.0004
HD143459,G430L,stis,interp,,,0.94559,10.08119,21.38457,12.65849,,,,,,4.0404,36,0,674,3.06677,-0.117,0.0,0.0,0.0
HD143459,G430L,stis_gauss,interp,,,0.81977,0.19854,-10.80589,2.62341,5.8311,,,,,7.5305,36,1,674,1.00186,-0.1296,0.00277,0.0,0.00104
HD143459,G430L,stis_tophat,interp,,8.1432,0.85597,0.44336,-10.14065,2.81966,,,,,,8.4805,36,1,674,1.05745,-0.1297,0.00073,0.0,0.00012
HD143459,G430L,stis05,interp,,,0.74996,4.05523,-14.06965,6.20289,,,,,,4.0432,36,0,674,1.60857,-0.1405,0.02556,0.0,0.01794
HD143459,G430L,stis2,interp,,,1.12882,-1.26395,-14.25614,4.68184,,,,,,4.0453,36,0,674,1.54174,-0.143,0.08753,0.04046,0.08038
HD143459,G430L,stis2_gauss,interp,,,1.11524,-1.85029,-13.9079,4.65479,1.5521,,,,,4.4472,36,1,674,1.52794,-0.1458,0.08767,0.04051,0.08053
HD143459,G430L,stis2_tophat,interp,,2.3314,1.11445,-1.87793,-13.88429,4.65382,,,,,,4.4956,36,1,674,1.52724,-0.1459,0.08768,0.04051,0.08053
HD143459,G430L,gauss,interp,,,0.82584,0.20815,-10.68528,2.73418,,,7.543,,,7.5431,36,1,674,1.0222,-0.0902,0.0018,0.0,0.00061
HD143459,G430L,moffat,interp,2.2347,,0.72717,-0.02372,-12.1573,2.62894,,,5.7476,,,5.7477,36,2,674,0.93257,-0.0894,0.02276,0.00252,0.01724
HD143459,G430L,gauss2,interp,,,0.72646,-0.05213,-11.28396,2.46275,,0.0399,,6.8708,63.8103,6.8927,36,3,674,0.90747,-0.0881,0.0289,0.01827,0.02742
HD143459,G430L,gauss_tophat,interp,,0.2498,0.82585,0.20748,-10.68512,2.73413,,,7.5413,,,7.5433,36,2,674,1.0222,-0.0903,0.0018,0.0,0.00061
HD143459,G750L,stis,rebin,,,1.09194,4.14695,5.6376,4.40673,,,,,,8.0898,2,0,481,1.1261,-0.5445,0.02536,0.0,0.0
HD143459,G750L,stis_gauss,rebin,,,0.97002,-1.18243,-3.81352,2.88458,9.7014,,,,,13.491,2,1,481,0.98571,-0.6295,0.09188,0.00079,0.00107
HD143459,G750L,stis_tophat,rebin,,13.4946,0.97555,-1.06776,-3.79411,2.92798,,,,,,14.6416,2,1,481,0.99166,-0.6343,0.07972,8e-05,0.00014
HD143459,G750L,stis05,rebin,,,0.98281,1.05286,2.89478,2.1216,,,,,,8.0945,2,0,481,0.99026,-0.591,0.09263,0.01274,0.01404
HD143459,G750L,stis2,rebin,,,0.9722,-1.41463,-3.39244,2.43165,,,,,,8.0945,2,0,481,0.98277,-0.61,0.13861,0.06272,0.06398
HD143459,G750L,stis2_gauss,rebin,,,0.97213,-1.42049,-3.40114,2.43737,0.3516,,,,,8.1091,2,1,481,0.98276,-0.6104,0.13865,0.0627,0.06396
HD143459,G750L,stis2_tophat,rebin,,0.5503,0.97212,-1.42119,-3.40215,2.43803,,,,,,8.1109,2,1,481,0.98276,-0.6104,0.13865,0.0627,0.06396
HD143459,G750L,gauss,rebin,,,0.97106,-1.23867,-3.89106,2.92736,,,13.8773,,,13.8774,2,1,481,0.98725,-0.5907,0.08972,0.00069,0.00092
HD143459,G750L,moffat,rebin,1.6999,,0.95356,-0.9382,-3.07136,2.33036,,,9.3322,,,9.3323,2,2,481,0.96337,-0.5537,0.12043,0.02819,0.0298
HD143459,G750L,gauss2,rebin,,,0.9512,-0.94429,-3.21288,2.45727,,0.175,,10.3977,36.6395,10.7997,2,3,481,0.96236,-0.555,0.11049,0.03477,0.03668
HD143459,G750L,gauss_tophat,rebin,,0.1561,0.97106,-1.23783,-3.89021,2.92701,,,13.8762,,,13.8767,2,2,481,0.98725,-0.5907,0.08971,0.00069,0.00092
HD143459,G750L,stis,interp,,,1.12465,5.001,6.1194,5.12453,,,,,,8.0898,2,0,481,1.16994,-0.5355,0.02536,0.0,0.0
HD143459,G750L,stis_gauss,interp,,,0.96998,-1.18085,-3.81053,2.88264,10.2555,,,,,13.9319,2,1,481,0.98565,-0.6291,0.10066,0.00111,0.00147
HD143459,G750L,stis_tophat,interp,,14.1961,0.97711,-1.06568,-3.83368,2.96606,,,,,,15.2021,2,1,481,0.99366,-0.6366,0.08641,0.00011,0.0002
HD143459,G750L,stis05,interp,,,0.99937,1.76422,3.30131,2.3399,,,,,,8.0945,2,0,481,1.00864,-0.58,0.09263,0.01274,0.01404
HD143459,G750L,stis2,interp,,,0.97934,-0.77325,-2.48632,1.8795,,,,,,8.0945,2,0,481,0.98479,-0.6,0.13861,0.06272,0.06398
HD143459,G750L,stis2_gauss,interp,,,0.97287,-1.32545,-3.26552,2.34962,3.111,,,,,8.908,2,1,481,0.98259,-0.6095,0.14254,0.06261,0.06391
HD143459,G750L,stis2_tophat,interp,,4.5878,0.97268,-1.3325,-3.28409,2.3631,,,,,,8.9732,2,1,481,0.98254,-0.6098,0.14252,0.06259,0.0639
HD143459,G750L,gauss,interp,,,0.97103,-1.23648,-3.88732,2.92504,,,14.2694,,,14.2696,2,1,481,0.98719,-0.59,0.0989,0.00097,0.00127
HD143459,G750L,moffat,interp,1.793,,0.95385,-0.92902,-3.01631,2.28471,,,9.9841,,,9.9841,2,2,481,0.9632,-0.5531,0.1272,0.02815,0.02983
HD143459,G750L,gauss2,interp,,,0.95119,-0.94318,-3.21183,2.45689,,0.1746,,10.9263,36.8156,11.3615,2,3,481,0.96235,-0.556,0.11691,0.03507,0.03698
HD143459,G750L,gauss_tophat,interp,,0.1456,0.97103,-1.23646,-3.88712,2.92487,,,14.2691,,,14.2695,2,2,481,0.98719,-0.5899,0.09889,0.00097,0.00127
HD194453,G430L,stis,rebin,,,0.81643,6.79889,16.26304,8.62318,,,,,,4.0404,37,0,674,2.17071,-0.177,0.0,0.0,0.0
HD194453,G430L,stis_gauss,rebin,,,0.68693,0.10251,3.73891,2.09935,4.9621,,,,,6.8225,37,1,674,0.82941,-0.1742,0.00119,0.0,0.00037
HD194453,G430L,stis_tophat,rebin,,6.98,0.70811,0.31425,4.20003,2.32135,,,,,,7.5049,37,1,674,0.87733,-0.1743,0.0003,0.0,4e-05
HD194453,G430L,stis05,rebin,,,0.65031,1.47843,6.18397,2.65138,,,,,,4.0432,37,0,674,0.88634,-0.1935,0.02556,0.0,0.01794
HD194453,G430L,stis2,rebin,,,1.02156,-3.27618,-7.96308,4.05631,,,,,,4.0453,37,0,674,1.3746,-0.198,0.08753,0.04046,0.08038
HD194453,G430L,stis2_gauss,rebin,,,1.02158,-3.27642,-7.96214,4.05644,0.05,,,,,4.0462,37,1,674,1.37464,-0.1979,0.08753,0.04046,0.08038
HD194453,G430L,stis2_tophat,rebin,,0.05,1.02156,-3.27619,-7.96312,4.05632,,,,,,4.0453,37,1,674,1.3746,-0.198,0.08753,0.04046,0.08038
HD194453,G430L,gauss,rebin,,,0.69448,0.10825,4.26158,2.28726,,,6.8937,,,6.8938,37,1,674,0.86199,-0.1343,0.00064,0.0,0.00018
HD194453,G430L,moffat,rebin,1.7137,,0.61132,-0.3056,3.5488,1.27134,,,4.5518,,,4.552,37,2,674,0.66478,-0.1349,0.02684,0.00519,0.0217
HD194453,G430L,gauss2,rebin,,,0.61629,-0.22919,2.93634,1.2628,,0.0965,,5.6448,25.1606,5.7359,37,3,674,0.66821,-0.1358,0.03374,0.00591,0.02938
HD194453,G430L,gauss_tophat,rebin,,0.1548,0.69449,0.1078,4.26093,2.2872,,,6.8931,,,6.8939,37,2,674,0.86199,-0.1343,0.00064,0.0,0.00018
HD194453,G430L,stis,interp,,,0.87021,8.07951,20.01091,10.27146,,,,,,4.0404,37,0,674,2.55096,-0.1748,0.0,0.0,0.0
HD194453,G430L,stis_gauss,interp,,,0.68655,0.10259,3.73341,2.09628,5.3042,,,,,7.0988,37,1,674,0.82868,-0.1741,0.00169,0.0,0.00057
HD194453,G430L,stis_tophat,interp,,7.4158,0.71665,0.37437,4.38654,2.40733,,,,,,7.8635,37,1,674,0.8964,-0.1743,0.00043,0.0,6e-05
HD194453,G430L,stis05,interp,,,0.68557,2.44681,8.15549,3.85908,,,,,,4.0432,37,0,674,1.12328,-0.193,0.02556,0.0,0.01794
HD194453,G430L,stis2,interp,,,1.05174,-2.4902,-7.48824,3.5676,,,,,,4.0453,37,0,674,1.32066,-0.1963,0.08753,0.04046,0.08038
HD194453,G430L,stis2_gauss,interp,,,1.05174,-2.49053,-7.48802,3.5677,0.0501,,,,,4.0462,37,1,674,1.32067,-0.1962,0.08753,0.04046,0.08038
HD194453,G430L,stis2_tophat,interp,,0.05,1.05172,-2.49028,-7.48929,3.56774,,,,,,4.0453,37,1,674,1.32066,-0.1964,0.08753,0.04046,0.08038
HD194453,G430L,gauss,interp,,,0.69406,0.10847,4.26145,2.28475,,,7.1439,,,7.1441,37,1,674,0.8613,-0.134,0.00098,0.0,0.0003
HD194453,G430L,moffat,interp,1.8511,,0.61174,-0.31162,3.70539,1.29458,,,4.992,,,4.992,37,2,674,0.6676,-0.1345,0.02628,0.00438,0.02088
HD194453,G430L,gauss2,interp,,,0.61617,-0.2295,2.9342,1.26211,,0.0958,,5.9544,25.3303,6.0536,37,3,674,0.66804,-0.1355,0.03386,0.00604,0.02949
HD194453,G430L,gauss_tophat,interp,,0.1451,0.69405,0.10821,4.26181,2.28481,,,7.1434,,,7.1442,37,2,674,0.8613,-0.1339,0.00098,0.0,0.0003
