star,grating,family,sampling,line_A,mean_pct,n_pix,peak_pct
HD143459,G430L,gauss2,interp,4862.74,2.8903,3,5.1516
HD143459,G430L,gauss2,interp,4341.73,-0.2448,2,-0.8234
HD143459,G430L,gauss2,interp,4102.94,-0.7641,3,-1.1026
HD143459,G430L,gauss2,interp,3971.24,0.1681,3,-1.214
HD143459,G430L,gauss2,interp,3890.19,-1.2157,3,-2.2935
HD143459,G430L,gauss2,interp,3836.51,-0.5033,2,-1.3617
HD143459,G430L,gauss2,interp,3799.01,0.3852,3,1.5254
HD143459,G430L,gauss2,interp,3771.74,0.6433,3,2.3865
HD143459,G430L,gauss2,interp,3751.26,-0.0647,2,-1.1041
HD143459,G430L,gauss2,interp,3735.47,0.3627,3,2.9932
HD143459,G430L,gauss2,interp,3723.03,-3.7083,3,-11.2838
HD143459,G430L,gauss2,interp,3713.06,0.1066,3,-2.1276
HD143459,G430L,gauss2,interp,3704.94,1.0756,3,2.47
HD143459,G750L,gauss2,interp,6564.7,-0.9442,2,-3.2128
HD194453,G430L,moffat,rebin,4862.74,2.7178,3,3.5485
HD194453,G430L,moffat,rebin,4341.73,0.6529,2,0.6943
HD194453,G430L,moffat,rebin,4102.94,0.3148,3,0.9492
HD194453,G430L,moffat,rebin,3971.24,0.2998,3,1.6369
HD194453,G430L,moffat,rebin,3890.19,-0.4981,3,-1.438
HD194453,G430L,moffat,rebin,3836.51,-0.2743,3,-0.7495
HD194453,G430L,moffat,rebin,3799.01,-0.1746,3,-0.6879
HD194453,G430L,moffat,rebin,3771.74,-0.8119,3,-1.1187
HD194453,G430L,moffat,rebin,3751.26,-1.0328,2,-1.0576
HD194453,G430L,moffat,rebin,3735.47,-1.0689,3,-1.8012
HD194453,G430L,moffat,rebin,3723.03,-0.8147,3,-1.4188
HD194453,G430L,moffat,rebin,3713.06,-1.4337,3,-1.9183
HD194453,G430L,moffat,rebin,3704.94,-1.7735,3,-2.0898
HD194453,G750L,gauss2,interp,6564.7,-0.3204,1,-0.3204
HD167946,G430L,gauss2,rebin,4862.74,-0.1082,3,4.938
HD167946,G430L,gauss2,rebin,4341.73,0.3791,3,3.7326
HD167946,G430L,gauss2,rebin,4102.94,0.0783,3,1.1413
HD167946,G430L,gauss2,rebin,3971.24,-0.2155,3,-0.8544
HD167946,G430L,gauss2,rebin,3890.19,-0.8868,3,-2.9527
HD167946,G430L,gauss2,rebin,3836.51,0.1841,2,2.1533
HD167946,G430L,gauss2,rebin,3799.01,0.7619,3,2.6968
HD167946,G430L,gauss2,rebin,3771.74,1.3461,3,2.3843
HD167946,G430L,gauss2,rebin,3751.26,-0.4632,2,-2.462
HD167946,G430L,gauss2,rebin,3735.47,0.0139,3,-2.8107
HD167946,G430L,gauss2,rebin,3723.03,0.6502,3,1.8063
HD167946,G430L,gauss2,rebin,3713.06,0.6197,3,2.7821
HD167946,G430L,gauss2,rebin,3704.94,1.4194,3,2.371
HD167946,G750L,gauss2,rebin,6564.7,-2.3921,2,-3.7178
HD074721,G430L,gauss2,interp,4862.74,1.4383,3,7.5556
HD074721,G430L,gauss2,interp,4341.73,1.5584,3,3.7204
HD074721,G430L,gauss2,interp,4102.94,0.1438,3,-1.2274
HD074721,G430L,gauss2,interp,3971.24,-0.4597,3,-1.2981
HD074721,G430L,gauss2,interp,3890.19,-0.6664,3,-1.023
HD074721,G430L,gauss2,interp,3836.51,0.0444,3,1.6805
HD074721,G430L,gauss2,interp,3799.01,0.5925,3,1.8169
HD074721,G430L,gauss2,interp,3771.74,-0.0071,3,-0.8915
HD074721,G430L,gauss2,interp,3751.26,-1.2602,3,-2.7907
HD074721,G430L,gauss2,interp,3735.47,-0.408,3,-1.2825
HD074721,G430L,gauss2,interp,3723.03,0.2949,3,-1.7517
HD074721,G430L,gauss2,interp,3713.06,-0.2617,3,1.7722
HD074721,G430L,gauss2,interp,3704.94,-0.0883,3,-1.9641
HD074721,G750L,gauss2,rebin,6564.7,-2.0874,2,-2.4229
HD174240,G430L,gauss2,interp,4862.74,1.9679,3,6.4128
HD174240,G430L,gauss2,interp,4341.73,-0.1965,2,-1.705
HD174240,G430L,gauss2,interp,4102.94,-1.9362,2,-2.1428
HD174240,G430L,gauss2,interp,3971.24,0.033,3,1.6046
HD174240,G430L,gauss2,interp,3890.19,-1.205,3,-2.2691
HD174240,G430L,gauss2,interp,3836.51,0.2113,2,1.5421
HD174240,G430L,gauss2,interp,3799.01,1.6969,3,2.4186
HD174240,G430L,gauss2,interp,3771.74,1.4424,3,2.5643
HD174240,G430L,gauss2,interp,3751.26,-0.4629,3,-1.7097
HD174240,G430L,gauss2,interp,3735.47,-0.5698,3,-1.8576
HD174240,G430L,gauss2,interp,3723.03,-0.0018,3,1.9802
HD174240,G430L,gauss2,interp,3713.06,0.2949,2,2.4526
HD174240,G430L,gauss2,interp,3704.94,-1.0288,2,-1.6987
HD174240,G750L,gauss2,rebin,6564.7,-2.4357,1,-2.4357
HD166991,G430L,moffat,rebin,4862.74,2.1939,3,6.2155
HD166991,G430L,moffat,rebin,4341.73,0.3713,3,3.1978
HD166991,G430L,moffat,rebin,4102.94,-0.0559,3,0.8599
HD166991,G430L,moffat,rebin,3971.24,-0.102,3,-0.8909
HD166991,G430L,moffat,rebin,3890.19,-0.9109,2,-1.7582
HD166991,G430L,moffat,rebin,3836.51,-0.2005,3,-1.8358
HD166991,G430L,moffat,rebin,3799.01,0.0603,3,-1.5997
HD166991,G430L,moffat,rebin,3771.74,-0.0235,3,-1.6889
HD166991,G430L,moffat,rebin,3751.26,-0.9639,3,-2.2696
HD166991,G430L,moffat,rebin,3735.47,0.2663,3,-1.9454
HD166991,G430L,moffat,rebin,3723.03,0.0621,3,1.7827
HD166991,G430L,moffat,rebin,3713.06,0.1985,3,1.2432
HD166991,G430L,moffat,rebin,3704.94,0.6201,3,1.3068
HD166991,G750L,gauss2,interp,6564.7,-1.5468,2,-3.327
HD117880,G430L,gauss2,interp,4862.74,2.2052,3,3.7923
HD117880,G430L,gauss2,interp,4341.73,-0.2423,3,-1.1532
HD117880,G430L,gauss2,interp,4102.94,-0.5164,3,-1.0069
HD117880,G430L,gauss2,interp,3971.24,2.2845,3,5.4423
HD117880,G430L,gauss2,interp,3890.19,-1.1899,3,-1.5454
HD117880,G430L,gauss2,interp,3836.51,-0.6897,3,-1.2956
HD117880,G430L,gauss2,interp,3799.01,0.2152,2,1.4267
HD117880,G430L,gauss2,interp,3771.74,-0.204,3,-1.2993
HD117880,G430L,gauss2,interp,3751.26,-0.5918,3,-1.2442
HD117880,G430L,gauss2,interp,3735.47,-0.3336,3,-2.5484
HD117880,G430L,gauss2,interp,3723.03,0.1008,3,3.0174
HD117880,G430L,gauss2,interp,3713.06,-0.1702,3,-1.3219
HD117880,G430L,gauss2,interp,3704.94,0.1941,3,1.1446
HD117880,G750L,gauss2,rebin,6564.7,-2.352,2,-4.3575
HD128801,G430L,gauss2,interp,4862.74,2.4549,3,3.2112
HD128801,G430L,gauss2,interp,4341.73,0.3642,3,1.2198
HD128801,G430L,gauss2,interp,4102.94,0.0091,3,1.0671
HD128801,G430L,gauss2,interp,3971.24,0.0337,3,0.9711
HD128801,G430L,gauss2,interp,3890.19,-1.5123,2,-1.8131
HD128801,G430L,gauss2,interp,3836.51,-0.1976,3,-1.3615
HD128801,G430L,gauss2,interp,3799.01,0.139,3,0.8061
