star,grating,family,sampling,lo,hi,lam_mid,fwhm_A,R,rms,shift_A,n_pix
HD143459,G430L,gauss,rebin,3700.0,4000.0,3850.0,7.1764,536.5,1.56243,-0.0332,110
HD143459,G430L,moffat,rebin,3700.0,4000.0,3850.0,5.5953,688.1,1.37295,-0.0327,110
HD143459,G430L,gauss,rebin,4000.0,4250.0,4125.0,7.5526,546.2,0.47815,-0.1176,91
HD143459,G430L,moffat,rebin,4000.0,4250.0,4125.0,5.3982,764.1,0.36038,-0.1139,91
HD143459,G430L,gauss,rebin,4250.0,4500.0,4375.0,7.4105,590.4,0.58286,-0.2791,91
HD143459,G430L,moffat,rebin,4250.0,4500.0,4375.0,4.9688,880.5,0.43462,-0.2722,91
HD143459,G430L,gauss,rebin,4650.0,5100.0,4875.0,8.3913,581.0,0.5634,-0.4158,164
HD143459,G430L,moffat,rebin,4650.0,5100.0,4875.0,5.4951,887.2,0.47969,-0.4152,164
HD143459,G750L,gauss,rebin,5700.0,6270.0,5985.0,40.0003,149.6,0.87539,-0.033,117
HD143459,G750L,moffat,rebin,5700.0,6270.0,5985.0,40.0,149.6,0.77161,0.0169,117
HD143459,G750L,gauss,rebin,6330.0,6860.0,6595.0,12.5309,526.3,0.60084,0.1479,109
HD143459,G750L,moffat,rebin,6330.0,6860.0,6595.0,10.0311,657.5,0.57764,0.1635,109
HD143459,G750L,gauss,rebin,6960.0,7570.0,7265.0,40.0003,181.6,0.32006,0.006,74
HD143459,G750L,moffat,rebin,6960.0,7570.0,7265.0,40.0,181.6,0.31433,0.0026,74
HD143459,G750L,gauss,rebin,8400.0,8900.0,8650.0,14.492,596.9,0.99209,-1.0604,103
HD143459,G750L,moffat,rebin,8400.0,8900.0,8650.0,9.4065,919.6,0.91756,-1.0394,103
HD194453,G430L,gauss,rebin,3700.0,4000.0,3850.0,6.7516,570.2,1.15411,-0.1344,110
HD194453,G430L,moffat,rebin,3700.0,4000.0,3850.0,4.7016,818.9,0.49288,-0.1343,110
HD194453,G430L,gauss,rebin,4000.0,4250.0,4125.0,7.3079,564.5,0.54492,-0.1308,91
HD194453,G430L,moffat,rebin,4000.0,4250.0,4125.0,4.7181,874.3,0.33536,-0.1233,91
HD194453,G430L,gauss,rebin,4250.0,4500.0,4375.0,7.1159,614.8,0.68534,-0.1824,91
HD194453,G430L,moffat,rebin,4250.0,4500.0,4375.0,4.5348,964.8,0.52997,-0.178,91
HD194453,G430L,gauss,rebin,4650.0,5100.0,4875.0,7.9245,615.2,0.5666,-0.1066,164
HD194453,G430L,moffat,rebin,4650.0,5100.0,4875.0,5.0761,960.4,0.47301,-0.111,164
HD194453,G750L,gauss,rebin,5700.0,6270.0,5985.0,15.225,393.1,0.77626,-1.3628,117
HD194453,G750L,moffat,rebin,5700.0,6270.0,5985.0,40.0,149.6,0.74057,0.0169,117
HD194453,G750L,gauss,rebin,6330.0,6860.0,6595.0,12.7223,518.4,0.64257,0.2751,109
HD194453,G750L,moffat,rebin,6330.0,6860.0,6595.0,5.144,1282.1,0.69574,0.2497,109
HD194453,G750L,gauss,rebin,6960.0,7570.0,7265.0,17.1426,423.8,0.26038,1.2236,73
HD194453,G750L,moffat,rebin,6960.0,7570.0,7265.0,9.2469,785.7,0.25638,1.1782,73
HD194453,G750L,gauss,rebin,8400.0,8900.0,8650.0,14.3492,602.8,1.03231,-0.5283,102
HD194453,G750L,moffat,rebin,8400.0,8900.0,8650.0,8.6522,999.7,0.9434,-0.5094,102
HD167946,G430L,gauss,rebin,3700.0,4000.0,3850.0,6.0199,639.5,1.27178,0.8183,110
HD167946,G430L,moffat,rebin,3700.0,4000.0,3850.0,3.6926,1042.6,0.75528,0.8243,110
HD167946,G430L,gauss,rebin,4000.0,4250.0,4125.0,6.7667,609.6,0.67743,0.567,91
HD167946,G430L,moffat,rebin,4000.0,4250.0,4125.0,3.5536,1160.8,0.39866,0.5705,91
HD167946,G430L,gauss,rebin,4250.0,4500.0,4375.0,6.3347,690.6,0.76295,0.2986,91
HD167946,G430L,moffat,rebin,4250.0,4500.0,4375.0,3.5434,1234.7,0.57622,0.3043,91
HD167946,G430L,gauss,rebin,4650.0,5100.0,4875.0,6.9694,699.5,0.58228,-0.0322,164
HD167946,G430L,moffat,rebin,4650.0,5100.0,4875.0,3.6285,1343.5,0.46034,-0.0195,164
HD167946,G750L,gauss,rebin,5700.0,6270.0,5985.0,40.0003,149.6,0.67681,-0.033,117
HD167946,G750L,moffat,rebin,5700.0,6270.0,5985.0,40.0,149.6,0.65199,1.7557,117
HD167946,G750L,gauss,rebin,6330.0,6860.0,6595.0,11.9204,553.3,0.58391,-0.2216,108
HD167946,G750L,moffat,rebin,6330.0,6860.0,6595.0,8.5254,773.6,0.53656,-0.1885,108
HD167946,G750L,gauss,rebin,6960.0,7570.0,7265.0,17.2982,420.0,0.34881,-2.803,74
HD167946,G750L,moffat,rebin,6960.0,7570.0,7265.0,14.3,508.0,0.35106,-0.0037,74
HD167946,G750L,gauss,rebin,8400.0,8900.0,8650.0,14.8807,581.3,0.97823,-1.709,102
HD167946,G750L,moffat,rebin,8400.0,8900.0,8650.0,9.3867,921.5,0.92156,-1.6606,102
HD074721,G430L,gauss,rebin,3700.0,4000.0,3850.0,5.8233,661.1,1.81272,0.6255,110
HD074721,G430L,moffat,rebin,3700.0,4000.0,3850.0,3.5507,1084.3,0.98378,0.6241,110
HD074721,G430L,gauss,rebin,4000.0,4250.0,4125.0,6.573,627.6,0.71475,0.4078,91
HD074721,G430L,moffat,rebin,4000.0,4250.0,4125.0,3.7548,1098.6,0.42302,0.4064,91
HD074721,G430L,gauss,rebin,4250.0,4500.0,4375.0,6.5192,671.1,0.92292,0.1727,91
HD074721,G430L,moffat,rebin,4250.0,4500.0,4375.0,3.9911,1096.2,0.79658,0.1653,91
HD074721,G430L,gauss,rebin,4650.0,5100.0,4875.0,7.2042,676.7,0.64324,-0.0048,164
HD074721,G430L,moffat,rebin,4650.0,5100.0,4875.0,4.0751,1196.3,0.50377,-0.0072,164
HD074721,G750L,gauss,rebin,5700.0,6270.0,5985.0,40.0003,149.6,1.22293,-0.033,116
HD074721,G750L,moffat,rebin,5700.0,6270.0,5985.0,40.0,149.6,0.99471,0.0169,116
HD074721,G750L,gauss,rebin,6330.0,6860.0,6595.0,12.4918,527.9,0.64826,-0.2554,108
HD074721,G750L,moffat,rebin,6330.0,6860.0,6595.0,8.7761,751.5,0.58926,-0.2723,108
HD074721,G750L,gauss,rebin,6960.0,7570.0,7265.0,40.0003,181.6,0.35278,-0.033,74
HD074721,G750L,moffat,rebin,6960.0,7570.0,7265.0,40.0,181.6,0.35083,0.0169,74
HD074721,G750L,gauss,rebin,8400.0,8900.0,8650.0,13.7004,631.4,1.16022,-1.3749,102
