target,stat_2000_2500,stat_2500_3000,stat_3000_3600,stat_3600_4000,stat_4000_5000,stat_5000_5500,stat_5700_7000,stat_7000_9000,stat_9000_10000,der_2000_2500,der_2500_3000,der_3000_3600,der_3600_4000,der_4000_5000,der_5000_5500,der_5700_7000,der_7000_9000,der_9000_10000
BD+112998,55.5,165.4,120.1,206.0,352.3,374.0,459.6,323.3,217.9,10.9,14.9,24.3,18.7,66.7,78.8,189.2,146.5,108.8
BD+363168,1.4,2.7,1.3,1.4,5.7,325.3,563.8,737.7,540.6,0.1,1.3,1.5,1.4,3.4,47.7,26.2,19.4,22.5
BD+381670,52.4,155.2,120.2,171.9,310.9,324.7,392.0,267.9,180.0,8.4,13.2,14.2,11.0,42.7,58.6,156.0,143.9,87.5
BD+413306,12.7,94.4,109.1,175.1,379.6,404.1,520.0,361.8,243.5,5.7,10.0,9.0,6.8,28.7,31.9,118.5,128.5,107.2
BD+75D325,192.3,189.9,166.4,177.2,178.3,142.8,366.4,185.9,100.1,80.4,88.7,103.8,90.3,89.6,120.1,119.6,106.3,61.5
BD-122669,136.7,202.9,85.1,123.4,191.1,189.7,103.3,61.2,37.2,25.1,36.6,44.6,21.5,119.4,115.3,73.9,56.7,30.8
BD092860,20.3,67.4,41.4,74.9,125.4,131.6,77.4,50.4,32.7,8.3,12.4,19.2,18.4,52.8,73.0,51.1,43.2,23.6
BD174708,143.7,242.2,113.5,163.4,262.3,265.3,148.3,92.8,60.5,17.3,23.4,37.4,22.5,94.2,122.6,95.5,72.0,40.3
BD292091,83.7,156.2,79.1,113.4,177.9,182.8,104.3,65.9,42.3,15.8,18.2,31.0,22.3,88.8,84.1,85.7,57.4,27.5
BD371458,107.2,227.8,127.0,196.5,318.5,333.4,195.9,128.5,86.4,16.7,16.8,26.9,19.5,98.0,110.3,121.4,91.6,58.8
BD413931,52.2,125.7,71.1,99.3,170.7,179.4,106.1,69.2,44.9,9.3,12.8,18.3,14.4,60.1,71.2,76.3,57.3,43.0
BD423607,90.3,166.0,82.9,118.0,183.9,187.5,105.8,66.6,42.9,17.5,22.8,36.5,22.4,85.4,101.0,75.5,55.3,40.1
BD442051,1.3,8.9,23.5,74.0,242.5,329.8,266.4,274.1,206.1,0.2,4.5,11.2,8.6,34.5,25.5,56.5,79.9,84.3
BD511696,69.6,155.1,86.2,121.4,207.5,215.6,126.8,81.7,53.5,9.5,13.7,18.9,12.9,59.5,63.3,104.1,59.1,41.1
BD592723,95.0,161.9,73.8,105.8,163.3,167.0,95.1,60.1,37.9,23.6,29.6,43.3,24.5,108.7,127.7,70.4,50.7,28.9
BD660268,45.4,124.4,79.0,114.2,194.4,204.0,118.0,79.0,53.1,11.8,13.8,19.7,14.4,79.8,83.4,82.8,58.7,32.3
BD720094,126.0,209.2,95.0,136.0,211.7,214.4,121.5,76.7,48.3,21.4,27.1,44.4,22.0,107.0,123.6,98.7,61.7,40.2
CD-259286,42.0,93.5,54.5,97.4,160.3,163.9,190.7,120.9,80.8,11.2,15.4,22.7,20.6,63.9,82.2,119.6,93.6,63.2
CD-3018140,120.3,197.0,91.6,135.9,209.4,210.0,115.1,71.6,45.1,22.6,29.8,35.5,21.4,95.2,117.4,85.2,52.6,29.6
CD-621346,38.5,113.8,86.8,141.7,251.6,273.0,333.4,223.4,152.9,9.1,12.7,18.6,16.8,58.0,68.5,131.8,141.8,87.9
CD-691618,699.9,837.5,315.2,377.2,446.1,383.5,365.2,187.9,110.6,86.9,120.4,160.7,26.9,104.7,239.1,141.0,127.8,66.3
G019-013,3.2,41.0,71.3,155.5,477.4,551.8,409.3,309.1,220.1,1.7,10.0,11.9,6.0,19.4,19.2,82.9,86.7,103.8
G021-024,2.7,23.9,30.3,77.2,267.3,324.3,251.9,198.0,142.3,1.4,8.7,11.0,7.5,20.3,18.0,62.9,85.6,92.6
G029-023,96.5,168.9,79.4,115.5,183.1,186.9,106.6,66.8,42.4,15.5,20.6,34.3,18.5,94.5,121.9,75.8,54.1,34.9
G114-26,127.1,221.6,107.3,150.6,239.2,244.9,140.9,89.4,57.6,17.7,20.0,35.8,19.3,87.2,117.9,90.1,76.0,50.3
G115-58,33.3,64.5,29.0,45.1,72.6,74.1,40.7,23.4,12.5,11.6,17.9,20.3,15.3,46.3,62.3,31.0,20.9,10.4
