star,grating,a_A,b_A_per_A,n_windows,fit_rms_A
HD074721,G230LB,,,0,
HD074721,G430L,0.5486,-6.42e-05,5,0.276
HD074721,G750L,-0.7893,0.0,5,0.626
HD106304,G230LB,,,0,
HD106304,G430L,0.0674,0.0002339,5,0.187
HD106304,G750L,-0.0126,0.0,5,0.906
HD117880,G230LB,,,0,
HD117880,G430L,0.3678,0.0001284,5,0.456
HD117880,G750L,-0.5,0.0,3,0.147
HD128801,G230LB,,,0,
HD128801,G430L,1.2151,-0.0020522,4,0.368
HD128801,G750L,-0.1583,0.0,5,1.459
HD143459,G230LB,,,0,
HD143459,G430L,0.7234,-0.0004484,4,0.2
HD143459,G750L,-0.1822,0.0,5,0.956
HD147550,G230LB,,,0,
HD147550,G430L,0.702,-0.0007094,5,0.04
HD147550,G750L,-0.3944,0.0,5,0.881
HD164257,G230LB,,,0,
HD164257,G430L,0.3355,-0.000397,5,0.232
HD164257,G750L,-0.7286,0.0,5,0.868
HD164967,G230LB,,,0,
HD164967,G430L,0.6389,-0.0004613,5,0.131
HD164967,G750L,-0.2957,0.0,5,0.907
HD166991,G230LB,,,0,
HD166991,G430L,0.5744,-0.0004507,5,0.106
HD166991,G750L,-0.8234,0.0,5,0.788
HD167946,G230LB,,,0,
HD167946,G430L,0.7849,-0.0005507,5,0.186
HD167946,G750L,-0.3384,0.0,5,1.191
HD174240,G230LB,,,0,
HD174240,G430L,0.4877,-0.000315,5,0.107
HD174240,G750L,-0.1926,0.0,5,0.612
HD194453,G230LB,,,0,
HD194453,G430L,0.7521,-0.0008202,5,0.082
HD194453,G750L,-0.3775,0.0,5,0.76
HD040573,G230LB,,,0,
HD040573,G430L,0.7188,-0.0006404,5,0.207
HD040573,G750L,-0.2731,0.0,5,0.917
