num,file,sptype,lum_class,metallicity,teff_K,teff_sptype_check,wave_min,wave_max,d_balmer_mag
1,pickles_1.fits,O5V,V,solar,39811,O5V,1150,10620,0.101
2,pickles_2.fits,O9V,V,solar,35481,O9V,1150,10620,0.189
3,pickles_3.fits,B0V,V,solar,28184,B0V,1150,10620,0.047
4,pickles_4.fits,B1V,V,solar,22387,B1V,1150,10620,0.251
5,pickles_5.fits,B3V,V,solar,19055,B3V,1150,10620,0.393
6,pickles_6.fits,B57V,V,solar,14125,B5-7V,1150,10620,0.671
7,pickles_7.fits,B8V,V,solar,11749,B8V,1150,10620,0.868
8,pickles_8.fits,B9V,V,solar,,,1150,10620,0.802
9,pickles_9.fits,A0V,V,solar,9550,A0V,1150,10620,0.957
10,pickles_10.fits,A2V,V,solar,8913,A2V,1150,10620,1.096
11,pickles_11.fits,A3V,V,solar,8790,A3V,1150,10620,1.074
12,pickles_12.fits,A5V,V,solar,8492,A5V,1150,10620,0.957
13,pickles_13.fits,A7V,V,solar,,,1150,10620,0.947
14,pickles_14.fits,F0V,V,solar,7211,F0V,1150,10620,0.854
15,pickles_15.fits,F2V,V,solar,6776,F2V,1150,10620,0.567
16,pickles_16.fits,F5V,V,solar,6531,F5V,1150,10620,0.495
17,pickles_17.fits,wF5V,V,weak,,,1150,10620,0.465
18,pickles_18.fits,F6V,V,solar,,,1150,10620,0.566
19,pickles_19.fits,rF6V,V,rich,,,1150,10620,0.486
20,pickles_20.fits,F8V,V,solar,6039,F8V,1150,10620,0.566
21,pickles_21.fits,wF8V,V,weak,,,1150,10620,0.506
22,pickles_22.fits,rF8V,V,rich,,,1150,10620,0.495
23,pickles_23.fits,G0V,V,solar,5808,G0V,1150,10620,0.612
24,pickles_24.fits,wG0V,V,weak,,,1150,10620,0.632
25,pickles_25.fits,rG0V,V,rich,,,1150,10620,0.611
26,pickles_26.fits,G2V,V,solar,5636,G2V,1150,10620,0.523
27,pickles_27.fits,G5V,V,solar,5585,G5V,1150,10620,0.608
28,pickles_28.fits,wG5V,V,weak,,,1150,10620,0.399
29,pickles_29.fits,rG5V,V,rich,,,1150,10620,0.681
30,pickles_30.fits,G8V,V,solar,5333,G8V,1150,10620,0.527
