star,xsl_name,xslid,ngsl_file,xsl_file,ra,dec,match_arcsec,teff_xsl,teff_ngsl,logg_xsl,logg_ngsl,mh_xsl,mh_ngsl,sptype,otype,dist_pc,vmag,bmag,offset_px,dataqual,ebv_sfd98,ebv_sf11,ebv_phot,ebv_miles,gal_b,ebv_map_useful,binary,binary_evidence,ruwe,peculiar,horizontal_branch,high_feh,out_of_grid,tier,selected,reject_reason,xsl_comment
HD164257,HD 164257,X0228,h_stis_ngsl_hd164257_v2.fits,xsl_spectrum_X0228_merged.fits,270.03046,6.55392,0.16,10885,7977,3.67,3.5,0.73,-0.1,A0,El*,225.9,6.7,6.8,-0.36,good,0.1966,0.169,0.1,,14.38,yes,yes,simbad,0.92,no,no,yes,"teff,mh",secondary,yes,,
HD143459,HD 143459,X0386,h_stis_ngsl_hd143459_v2.fits,xsl_spectrum_X0386_merged.fits,240.19846,-8.41133,0.16,10689,9878,4.01,3.6,-0.19,-0.6,A0V,HB*,142.2,5.530,5.570,0.09,good,0.2021,0.1738,0.04,0.106,32.0,yes,no,,1.04,no,yes,no,mh,primary,yes,,
HD194453,HD 194453,X0196,h_stis_ngsl_hd194453_v2.fits,xsl_spectrum_X0196_merged.fits,306.35596,6.64181,0.02,10489,10241,3.8,3.9,-0.02,0.0,A0III,*,196.8,6.753,6.743,0.0,good,0.1042,0.0896,-0.01,,-17.44,yes,no,,0.89,no,no,no,,primary,yes,,K-band continuum wavy
HD167946,HD 167946,X0460,h_stis_ngsl_hd167946_v2.fits,xsl_spectrum_X0460_merged.fits,274.30987,5.75358,0.09,10079,10634,4.09,4.3,-0.47,-0.1,A0,*,183.6,7.35,7.36,0.63,good,0.2329,0.2003,0.01,,10.22,yes,no,,0.89,no,no,no,,primary,yes,,
HD147550,HD 147550,X0245,h_stis_ngsl_hd147550_v2.fits,xsl_spectrum_X0245_merged.fits,245.66208,-2.07986,0.09,10044,10074,3.82,3.9,-0.26,-0.0,B9V,*,140.8,6.245,6.300,0.245,good,0.1521,0.1308,0.125,,31.41,yes,yes,gaia,1.8,no,no,no,,secondary,yes,,
HD074721,HD 74721,X0874,h_stis_ngsl_hd074721_v2.fits,xsl_spectrum_X0874_merged.fits,131.49692,13.26347,0.33,9571,8774,4.22,3.3,-0.57,-0.6,A0V,HB*,376.0,8.71,8.76,-0.35,good,0.032,0.0275,0.05,0.032,31.32,yes,no,,1.01,no,yes,no,mh,primary,yes,,
HD072968,HD 72968,X0327,h_stis_ngsl_hd072968_v2.fits,xsl_spectrum_X0327_merged.fits,128.8675,-7.98228,0.06,9569,9253,3.67,3.9,0.44,0.5,A1VpSrCr,a2*,103.9,5.72,5.69,-0.17,good,0.0375,0.0323,-0.06,,18.85,yes,no,,0.78,yes,no,yes,mh,rejected,no,chemically peculiar (sptype/otype),
HD164967,HD 164967,X0468,h_stis_ngsl_hd164967_v2.fits,xsl_spectrum_X0468_merged.fits,270.83771,8.41933,0.11,9351,8534,4.52,4.1,-0.29,-0.6,A0,*,177.3,7.0,7.4,0.37,good,0.2012,0.173,0.4,,14.49,yes,yes,gaia,8.32,no,no,no,mh,secondary,yes,,
HD174240,HD 174240,X0163,h_stis_ngsl_hd174240_v2.fits,xsl_spectrum_X0163_merged.fits,282.40496,0.83619,0.1,9262,9274,3.65,3.8,-0.4,-0.2,A1IV,*,173.1,6.236,6.274,0.28,good,5.8173,5.0029,0.008,,0.79,no,no,,1.04,no,no,no,,primary,yes,,
HD166991,HD 166991,X0450,h_stis_ngsl_hd166991_v2.fits,xsl_spectrum_X0450_merged.fits,273.26596,2.98056,0.12,9008,8497,4.49,4.0,-0.2,-0.3,A1V,*,110.0,6.821,6.929,0.445,good,0.3225,0.2774,0.078,,9.89,yes,no,,1.03,no,no,no,teff,primary,yes,,Artifacts in K-band (NIR arm)
HD117880,HD 117880,X0626,h_stis_ngsl_hd117880_v2.fits,xsl_spectrum_X0626_merged.fits,203.37421,-18.51506,0.71,8843,9426,3.23,3.7,-1.65,-0.6,B9IV/V,PM*,370.7,9.06,9.08,0.905,suspect,0.0897,0.0772,0.09,,43.23,yes,no,,1.19,no,no,no,mh,primary,yes,,
HD128801,HD 128801,X0243,h_stis_ngsl_hd128801_v2.fits,xsl_spectrum_X0243_merged.fits,219.70038,7.91119,0.4,8774,10123,2.84,3.7,-1.92,-1.9,B9,HB*,317.4,8.73,8.69,0.58,good,0.0272,0.0234,0.03,0.026,58.14,yes,no,,1.09,no,yes,no,"logg,mh",primary,yes,,
HD106304,HD 106304,X0614,h_stis_ngsl_hd106304_v2.fits,xsl_spectrum_X0614_merged.fits,183.47317,-40.8735,0.75,8759,9376,3.16,3.6,-1.67,-1.8,B9V,PM*,376.5,9.07,9.10,-0.325,good,0.1011,0.087,0.1,,21.44,yes,no,,0.96,no,no,no,mh,primary,yes,,
