window,star,lo,hi,tabulated_A,measured_A,shift_A,ratio,rms
G430L 3700-4100,HD194453,3700.0,4100.0,3.85,6.6,-0.13,1.71,0.0096
G430L 3700-4100,HD143459,3700.0,4100.0,3.85,7.07,-0.04,1.84,0.0133
G430L 3700-4100,HD128801,3700.0,4100.0,3.85,6.41,-0.19,1.66,0.0096
G430L 4200-4600,HD194453,4200.0,4600.0,3.85,6.93,-0.16,1.8,0.0062
G430L 4200-4600,HD143459,4200.0,4600.0,3.85,7.32,-0.27,1.9,0.0054
G430L 4200-4600,HD128801,4200.0,4600.0,3.85,6.99,-0.2,1.82,0.0068
G430L 4700-5100,HD194453,4700.0,5100.0,3.85,7.79,-0.13,2.02,0.0058
G430L 4700-5100,HD143459,4700.0,5100.0,3.85,8.2,-0.43,2.13,0.0059
G430L 4700-5100,HD128801,4700.0,5100.0,3.85,7.4,-0.08,1.92,0.0058
G750L 6400-6800,HD194453,6400.0,6800.0,8.09,12.68,0.24,1.57,0.0072
G750L 6400-6800,HD143459,6400.0,6800.0,8.09,12.87,0.11,1.59,0.0065
G750L 6400-6800,HD128801,6400.0,6800.0,8.09,11.81,0.81,1.46,0.0068
G750L 8400-9000,HD194453,8400.0,9000.0,8.09,14.32,-0.42,1.77,0.011
G750L 8400-9000,HD143459,8400.0,9000.0,8.09,14.48,-1.06,1.79,0.0106
G750L 8400-9000,HD128801,8400.0,9000.0,8.09,14.91,-0.8,1.84,0.0125
