star,sptype,rv_uves_kms,ngsl_shift_kms,ngsl_shift_err_kms,ngsl_shift_A_at_3971,grey_break,rms_break_pct,grey_hepsilon,rms_hepsilon_pct,gcvs_name,gcvs_type,ngsl_obsdate,uves_obsdate,notes
HD022049,K2V,16.17,-42.1,1.5,-0.558,1.0172,2.77,0.99,1.11,eps Eri,BY,2001-11-03,2002-10-12,variable_BY
HD022484,F9IV-V,27.76,-27.0,1.8,-0.358,1.0153,2.11,1.0023,2.91,,,2003-11-04,2002-10-14,
HD047839,O7Ve,25.72,-40.3,4.2,-0.534,0.9178,5.52,0.9904,0.79,S Mon,IA:,2003-08-26,2001-03-19,variable_IA:
HD058343,B2Vne,0.0,-57.8,2.9,-0.765,0.6569,12.24,0.8236,2.75,FW CMa,BE,2004-02-22,2001-03-14,variable_BE
HD063077,G0V,106.93,-23.1,1.5,-0.305,0.8709,5.29,0.9404,2.84,,,2003-11-19,2001-04-08,
HD076932,F7-8IV-V,119.76,-28.1,2.2,-0.372,0.9103,4.92,0.9715,2.75,,,2004-01-06,2001-03-14,
HD099648,G8Iab:,-9.24,-40.5,1.6,-0.536,0.9985,2.39,0.9773,1.65,,,2004-06-03,2002-01-22,
HD102212,M1III,51.33,-13.5,1.5,-0.179,1.0697,6.69,0.9451,3.91,nu. Vir,SRB,2002-02-26,2001-06-17,variable_SRB
HD111786,A0III,-7.03,-70.6,1.7,-0.936,1.0125,2.03,0.9737,1.37,MO Hya,DSCTC,2003-07-16,2002-08-04,variable_DSCTC
HD115617,G5V,-7.7,-45.8,1.6,-0.607,1.015,3.52,0.9586,0.94,,,2002-02-17,2001-07-07,
HD138716,K1IV,49.25,-46.6,8.1,-0.617,1.1208,2.86,,,,,2002-02-25,2003-03-09,uves_gap_at_hepsilon
HD142703,A2Ib/II,22.49,-39.7,4.3,-0.526,1.0221,4.06,0.9557,1.08,HR Lib,DSCTC,2004-06-07,2001-07-12,variable_DSCTC
HD206778,K2Ib,4.66,-32.3,1.7,-0.428,1.0382,4.72,0.9847,1.77,eps Peg,LC,2001-09-12,2001-11-21,variable_LC
