ngsl_target,uves_name,simbad_id,match_arcsec,ra,dec,sptype,vmag,bmag,teff_ngsl,teff_uves,e_teff_uves,logg_ngsl,logg_uves,e_logg_uves,mh_ngsl,feh_uves,e_feh_uves,afe_uves,vsini_uves,e_vsini_uves,rv_uves_kms,d_teff,d_logg,d_mh,ngsl_file,ngsl_dataqual,ngsl_fit_quality,uves_spec_url,notes
HD022049,HD022049,* eps Eri,1.75,53.232192,-9.458287,K2V,3.73,4.61,5130.0,5341.9,2.7,4.5,5.044,0.008,0.0,-0.141,0.005,0.1,0.3,0.0,16.17,211.9,0.54,-0.14,h_stis_ngsl_hd022049_v2.fits,good,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD022049.fits.gz,
HD022484,HD022484,*  10 Tau,2.11,54.217999,0.401142,F9IV-V,4.28,4.86,6141.0,5866.4,2.8,4.1,3.604,0.009,0.1,-0.454,0.004,0.17,1.6,0.7,27.76,-274.6,-0.5,-0.55,h_stis_ngsl_hd022484_v2.fits,good,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD022484.fits.gz,
HD047839,HD047839,*  15 Mon,0.06,100.244417,9.89574,O7Ve,4.66,4.41,,45541.0,122.3,,3.964,0.006,,0.341,0.006,0.0,92.4,0.5,25.72,,,,h_stis_ngsl_hd047839_v2.fits,good,3,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD047839.fits.gz,ngsl_unfitted(fit_quality=3)
HD058343,HD058343,HD  58343,0.07,111.167458,-16.201489,B2Vne,5.2,5.16,,,,,,,,,,,,,,,,,h_stis_ngsl_hd058343_v2.fits,good,3,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD058343.fits.gz,ngsl_unfitted(fit_quality=3);uves_unfitted
HD063077,HD063077,* 171 Pup,7.33,116.395654,-34.170518,G0V,5.37,5.95,5926.0,5795.4,2.9,4.2,4.016,0.007,-0.7,-0.952,0.003,0.37,1.8,0.7,106.93,-130.6,-0.18,-0.25,h_stis_ngsl_hd063077_v2.fits,good,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD063077.fits.gz,
HD076932,HD076932,HD  76932,1.25,134.683327,-16.132502,F7-8IV-V,5.86,6.39,6034.0,5851.8,2.1,4.1,3.589,0.008,-0.7,-0.957,0.003,0.29,4.1,0.3,119.76,-182.2,-0.51,-0.26,h_stis_ngsl_hd076932_v2.fits,good,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD076932.fits.gz,
HD099648,HD099648,* tau Leo,0.1,171.984345,2.856242,G8Iab:,4.95,5.945,4811.0,4990.1,2.9,2.0,1.894,0.011,-0.3,-0.27,0.005,0.27,9.1,0.2,-9.24,179.1,-0.11,0.03,h_stis_ngsl_hd099648_v2.fits,good,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD099648.fits.gz,
HD102212,HD102212,* nu. Vir,0.41,176.46483,6.52926,M1III,4.05,5.584,3800.0,3982.0,1.2,1.1,1.135,0.007,0.1,-0.423,0.005,0.9,11.0,0.2,51.33,182.0,0.04,-0.52,h_stis_ngsl_hd102212_v2.fits,good,2,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD102212.fits.gz,
HD111786,HD111786,V* MO Hya,0.36,192.991127,-26.73825,A0III,6.145,6.352,7598.0,7436.2,2.2,3.9,4.031,0.008,-1.3,-1.7,0.012,0.49,47.0,0.0,-7.03,-161.8,0.13,-0.4,h_stis_ngsl_hd111786_v2.fits,good,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD111786.fits.gz,
HD115617,HD115617,*  61 Vir,3.2,199.600666,-18.31184,G5V,4.74,5.45,5557.0,5755.2,3.5,4.3,4.7,0.009,0.0,-0.07,0.004,0.06,3.9,0.4,-7.7,198.2,0.4,-0.07,h_stis_ngsl_hd115617_v2.fits,good,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD115617.fits.gz,
HD138716,HD138716,*  37 Lib,0.9,233.544797,-10.064683,K1IV,4.61,5.63,4771.0,5214.0,2.5,2.9,3.627,0.009,-0.1,0.046,0.005,0.04,9.2,0.2,49.25,443.0,0.73,0.15,h_stis_ngsl_hd138716_v2.fits,suspect,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD138716.fits.gz,ngsl_dataqual=suspect
HD142703,HD142703,V* HR Lib,0.37,239.139148,-14.829488,A2Ib/II,6.123,6.34,7337.0,7284.6,1.5,3.9,3.846,0.007,-1.4,-1.769,0.006,0.32,92.5,0.3,22.49,-52.4,-0.05,-0.37,h_stis_ngsl_hd142703_v2.fits,good,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD142703.fits.gz,
HD206778,HD206778,* eps Peg,0.07,326.046503,9.875003,K2Ib,2.404,3.962,4095.0,4482.6,1.9,1.3,-0.05,0.009,0.1,-0.319,0.004,0.25,10.5,0.1,4.66,387.6,-1.35,-0.42,h_stis_ngsl_hd206778_v2.fits,good,1,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD206778.fits.gz,uves_logg=-0.05_at_grid_edge
