star,sptype,ubv_LID,ubv_m_LID,ubv_var,ubv_Vmag,ubv_e_Vmag,ubv_n_Vmag,ubv_B-V,ubv_e_B-V,ubv_n_B-V,ubv_U-B,ubv_e_U-B,ubv_n_U-B,ubv_SimbadName,ubv__RA,ubv__DE,ubv_match,uvby_LID,uvby_m_LID,uvby_RAB1950,uvby_DEB1950,uvby_Ns,uvby_Vmag,uvby_e_Vmag,uvby_b-y,uvby_e_b-y,uvby_m1,uvby_e_m1,uvby_c1,uvby_e_c1,uvby_Beta,uvby_e_Beta,uvby_Simbad,uvby__RA.icrs,uvby__DE.icrs,uvby_match
HD022049,K2V,+100022049,,,3.726,0.01,>,0.882,0.007,>,0.583,0.013,>,HD 022049,53.23268,-9.45826,LID +100022049,0100022049,,03 30 34,-09 37.6,2,3.718,0.003,0.504,0.008,0.43,0.008,0.263,0.008,--,--,Simbad,03 32 58.8,-09 27 32,LID 0100022049
HD022484,F9IV-V,+100022484,,,4.293,0.02,>,0.572,0.009,>,0.058,0.018,>,HD 022484,54.21826,0.40166,LID +100022484,0100022484,,03 34 19,+00 14.6,10,4.291,0.006,0.367,0.003,0.173,0.004,0.376,0.004,2.615,0.005,Simbad,03 36 53.1,+00 24 27,LID 0100022484
HD047839,O7Ve,+100047839,,,4.645,0.003,,-0.254,0.008,,-1.038,0.005,,HD 047839,100.24442,9.89575,LID +100047839,0222640131,ABV,06 38 13,+09 56.6,9,4.617,0.014,-0.092,0.007,0.051,0.008,-0.129,0.01,2.574,0.008,Simbad,06 40 58.2,+09 53 44,"position, V agrees to 0.35"
HD058343,B2Vne,+100058343,,V,5.356,0.04,,-0.062,0.01,,-0.582,0.015,,HD 058343,111.16745,-16.20147,LID +100058343,0100058343,V,07 22 24,-16 06.1,6,5.334,0.002,0.011,0.012,0.073,0.007,0.264,0.032,2.566,0.013,Simbad,07 24 39.7,-16 12 03,LID 0100058343
HD063077,G0V,+100063077,1,,5.363,0.016,>,0.577,0.015,>,-0.065,0.007,>,HD 063077,116.39593,-34.17236,LID +100063077,0100063077,A,07 43 43,-34 04.4,13,5.365,0.006,0.377,0.003,0.132,0.004,0.278,0.006,2.593,0.008,Simbad,07 45 36.1,-34 11 46,LID 0100063077
HD076932,F7-8IV-V,+100076932,,,5.824,0.023,>,0.524,0.008,>,0.005,0.075,>,HD 076932,134.68305,-16.13273,LID +100076932,0100076932,,08 56 23,-15 56.4,12,5.811,0.006,0.359,0.003,0.119,0.004,0.299,0.007,2.581,0.009,Simbad,08 58 43.0,-16 08 05,LID 0100076932
HD099648,G8Iab:,+100099648,,,4.953,0.016,>,1.003,0.004,>,0.791,0.009,>,HD 099648,171.98433,2.85627,LID +100099648,,,,,,,,,,,,,,,,,,,
HD102212,M1III,+100102212,,,4.034,0.011,>,1.511,0.011,>,1.802,0.025,>,HD 102212,176.46483,6.52938,LID +100102212,,,,,,,,,,,,,,,,,,,
HD111786,A0III,+100111786,,,6.137,0.007,>,0.238,0.004,>,--,--,,HD 111786,192.99123,-26.73827,LID +100111786,0100111786,V,12 49 17,-26 28.0,3,6.153,--,0.162,0.001,0.132,0.004,0.808,0.009,2.777,0.01,Simbad,12 51 58.1,-26 44 18,LID 0100111786
HD115617,G5V,+100115617,,,4.739,0.008,>,0.709,0.007,>,0.262,0.011,>,HD 115617,199.60131,-18.3112,LID +100115617,0100115617,,13 15 47,-18 02.0,5,4.735,0.002,0.433,0.001,0.255,0.002,0.325,0.005,2.582,0.0,Simbad,13 18 28.0,-18 17 46,LID 0100115617
HD138716,K1IV,+100138716,,,4.62,0.011,>,1.01,0.005,>,0.854,0.012,>,HD 138716,233.54459,-10.06453,LID +100138716,0100138716,,15 31 26,-09 53.7,2,4.613,0.001,0.612,0.001,0.423,0.007,0.428,0.002,--,--,Simbad,15 34 09.2,-10 03 42,LID 0100138716
HD142703,A2Ib/II,+100142703,,,6.123,0.005,>,0.237,0.005,>,--,--,,HD 142703,239.13906,-14.82944,LID +100142703,0100142703,V,15 53 44,-14 41.1,9,6.123,0.003,0.182,0.002,0.116,0.002,0.724,0.005,2.736,0.005,Simbad,15 56 32.8,-14 49 45,LID 0100142703
HD206778,K2Ib,+100206778,1,V,2.387,0.013,>,1.524,0.017,>,1.664,0.04,>,HD 206778,326.04649,9.87501,LID +100206778,0100206778,AV,21 41 43,+09 38.7,3,2.383,0.004,0.963,0.006,0.681,0.016,0.299,0.003,2.584,0.018,Simbad,21 44 10.3,+09 52 30,LID 0100206778
