star,sptype,ub_cat,bv_cat,v_cat,ub_ngsl,ub_ngsl_trunc,ub_uves,d_ub_ngsl_cat,d_ub_uves_ngsl,ub_trunc_cost,c1_cat,e_c1_cat,c1_ngsl,c1_ngsl_trunc,c1_uves,d_c1_uves_ngsl,c1_trunc_cost,uves_band_hole,gcvs_type,c1_ngsl_zp,c1_uves_zp,d_c1_ngsl_cat,ub_uves_corr,d_ub_uves_cat
HD022049,K2V,0.583,0.882,3.726,0.537,0.5239,0.4962,-0.046,-0.0277,0.0131,0.263,0.008,-0.8077,-0.8149,-0.8397,-0.0248,0.0072,,BY,0.2533,0.2212,-0.0097,0.5093,-0.0737
HD022484,F9IV-V,0.058,0.572,4.293,0.0415,0.0337,0.0131,-0.0165,-0.0206,0.0078,0.376,0.004,-0.684,-0.6891,-0.6902,-0.0011,0.005,,,0.3769,0.3708,0.0009,0.0209,-0.0371
HD047839,O7Ve,-1.038,-0.254,4.645,-1.0932,-1.0638,-1.0156,-0.0552,0.0482,-0.0294,-0.129,0.01,-1.2252,-1.2214,-1.106,0.1154,-0.0038,,IA:,-0.1642,-0.045,-0.0352,-1.045,-0.007
HD058343,B2Vne,-0.582,-0.062,5.356,-0.6242,-0.6104,-0.4273,-0.0422,0.1831,-0.0137,0.264,0.032,-0.8048,-0.8036,-0.5313,0.2723,-0.0013,,BE,0.2561,0.5297,-0.0079,-0.441,0.141
HD063077,G0V,-0.065,0.577,5.363,-0.0922,-0.0995,-0.0443,-0.0272,0.0551,0.0073,0.278,0.006,-0.7782,-0.7833,-0.6903,0.0931,0.0051,,,0.2828,0.3707,0.0048,-0.0371,0.0279
HD076932,F7-8IV-V,0.005,0.524,5.824,-0.1114,-0.1178,-0.0741,-0.1164,0.0437,0.0063,0.299,0.007,-0.762,-0.7667,-0.682,0.0847,0.0047,,,0.299,0.379,0.0,-0.0678,-0.0728
HD099648,G8Iab:,0.791,1.003,4.953,0.7616,0.7445,0.7487,-0.0294,0.0042,0.0171,,,-0.6555,-0.6631,-0.6953,-0.0322,0.0076,,,0.4055,0.3657,,0.7657,-0.0253
HD102212,M1III,1.802,1.511,4.034,1.8585,1.8256,1.7376,0.0565,-0.088,0.0329,,,-0.4623,-0.4767,-0.5739,-0.0972,0.0144,,SRB,0.5987,0.4871,,1.7706,-0.0314
HD111786,A0III,,0.238,6.137,-0.0119,-0.0139,-0.0315,,-0.0176,0.002,0.808,0.009,-0.2585,-0.2601,-0.2847,-0.0247,0.0016,,DSCTC,0.8025,0.7762,-0.0055,-0.0296,
HD115617,G5V,0.262,0.709,4.739,0.2238,0.2136,0.2082,-0.0382,-0.0053,0.0102,0.325,0.005,-0.7455,-0.7517,-0.8089,-0.0572,0.0061,,,0.3155,0.2521,-0.0095,0.2184,-0.0436
HD138716,K1IV,0.854,1.01,4.62,0.8434,0.825,,-0.0106,,0.0184,0.428,0.002,-0.6315,-0.6397,,,0.0082,3859-4784,,0.4295,,0.0015,,
HD142703,A2Ib/II,,0.237,6.123,-0.0595,-0.0615,-0.0772,,-0.0157,0.002,0.724,0.005,-0.3356,-0.3373,-0.4077,-0.0704,0.0018,,DSCTC,0.7254,0.6533,0.0014,-0.0752,
HD206778,K2Ib,1.664,1.524,2.387,1.7282,1.7023,1.681,0.0642,-0.0214,0.0258,0.299,0.003,-0.7588,-0.7694,-0.8059,-0.0365,0.0106,,LC,0.3022,0.2551,0.0032,1.7068,0.0428
