name,teff,e_teff,logg,e_logg,fe_h,e_fe_h,a_fe,vsini,e_vsini,v,eso_starid,spec_url
Achernar,14679.7,19.4596,3.08222,0.0047828,0.179976,0.048401,0.0,285.521,0.707315,8.4705,Achernar,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Achernar.fits.gz
Agena,33254.4,53.9916,3.87745,0.0225508,-0.258162,0.0192099,0.0,159.987,3.44509,2.52044,Agena,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Agena.fits.gz
Aldebaran,3859.62,0.543275,-0.161009,0.00368508,-1.16289,0.00292044,0.640876,7.62969,0.16945,54.1462,Aldebaran,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Aldebaran.fits.gz
Altair,7485.44,2.01729,3.71771,0.00687765,-0.0802652,0.00381315,0.0840769,216.596,0.516794,-24.0593,Altair,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Altair.fits.gz
Arcturus,4764.96,2.55547,2.46867,0.0100344,-0.426295,0.00442111,0.583451,3.27234,0.363053,-4.90579,Arcturus,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Arcturus.fits.gz
Bellatrix,22017.3,18.4674,3.5093,0.00242749,0.0092534,0.00601757,0.0,53.9205,0.238969,17.3125,Bellatrix,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Bellatrix.fits.gz
Betelgeuse,3778.55,1.51488,-0.461944,0.00779536,-0.126431,0.00411934,0.305338,14.2698,0.177739,20.075,Betelgeuse,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Betelgeuse.fits.gz
Canopus,7028.85,34.918,1.11952,0.00965367,-0.272479,0.00624266,-0.149366,0.165011,0.0,20.6278,Canopus,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Canopus.fits.gz
Castor,9030.92,3.54068,3.93854,0.00395132,0.192115,0.00448403,-0.218286,18.4287,0.148907,-11.2251,Castor,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/Castor.fits.gz
HD000142,6271.52,3.20489,3.96886,0.011763,-0.0406824,0.0039282,0.0444443,10.5201,0.140124,5.69028,142,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD000142.fits.gz
HD000739,6230.46,2.52084,3.52408,0.0101838,-0.459442,0.0031875,0.170702,4.04868,0.272482,0.890253,739,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD000739.fits.gz
HD001581,5865.25,2.67863,3.95099,0.0112673,-0.457512,0.00363325,0.175198,1.2537,0.991871,9.8782,1581,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD001581.fits.gz
HD002151,5775.13,2.83585,3.67232,0.00951633,-0.361577,0.00370293,0.118498,6.00315,0.211252,23.0459,2151,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD002151.fits.gz
HD003158,6128.31,2.69918,3.56389,0.0095695,-0.457193,0.00333489,0.215202,13.9846,0.106331,36.6335,3158,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD003158.fits.gz
HD007312,7088.59,2.85549,3.38764,0.0097152,-0.0984413,0.00444231,0.378099,95.0205,0.30279,21.8653,7312,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD007312.fits.gz
HD007570,6077.36,3.55489,4.07411,0.0382524,-0.167704,0.00410925,-0.0161053,0.420513,0.0,12.4527,7570,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD007570.fits.gz
HD010361,5117.94,2.39142,4.85506,0.00778497,-0.408886,0.00517549,0.142162,0.244565,0.0,20.5125,10361,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD010361.fits.gz
HD010647,6208.48,2.91096,4.45673,0.00962521,-0.170038,0.00348064,0.0164387,5.82217,0.22323,28.2433,10647,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD010647.fits.gz
HD010840,11866.5,21.5915,3.83364,0.00649309,0.534691,0.00777204,-0.028595,31.558,0.281842,14.2449,10840,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD010840.fits.gz
HD011171,6841.26,2.9603,3.44835,0.0110997,-0.08189,0.00424978,0.220287,54.7047,0.165035,-2.95519,11171,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD011171.fits.gz
HD011643,4871.7,3.30827,2.58354,0.0127169,0.0266779,0.00592823,0.233329,7.20515,0.2193,24.2928,11643,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD011643.fits.gz
HD011695,3671.33,0.770451,0.269733,0.00682962,-0.129361,0.00357091,0.655836,14.0181,0.168147,1.68877,11695,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD011695.fits.gz
HD012311,7125.7,2.84034,3.46543,0.010442,0.108407,0.0040168,0.322347,145.363,0.438404,18.0196,12311,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD012311.fits.gz
HD012642,,,,,,,,,,,12642,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD012642.fits.gz
HD014802,5636.02,3.41147,3.36781,0.0101922,-0.463242,0.00372125,0.166342,6.24526,0.201662,16.4033,14802,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD014802.fits.gz
HD016673,6235.11,4.80891,4.42998,0.0124792,-0.112414,0.00640967,0.0156779,23.2682,0.191253,-3.82431,16673,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD016673.fits.gz
HD018242,2892.0,3.58064,1.4114,0.0145106,0.0166938,0.00569017,0.0,15.0,0.0,55.0096,18242,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD018242.fits.gz
HD018369,6927.33,2.17186,3.59294,0.00800584,-0.0447591,0.00345431,0.226017,121.881,0.291826,8.59505,18369,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD018369.fits.gz
HD018466,6815.64,9.67426,3.8045,0.0330551,-0.0482003,0.0130808,-0.232978,54.215,0.466853,21.5948,18466,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD018466.fits.gz
HD018692,6541.61,2.18019,3.67387,0.00775083,-0.128147,0.00360354,0.22339,82.1271,0.222009,30.3781,18692,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD018692.fits.gz
HD018884,4180.47,1.19982,1.85012,0.00986776,0.524206,0.00540745,0.681937,11.4268,0.165242,-24.6498,18884,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD018884.fits.gz
HD020010,6110.56,3.08777,3.44819,0.00754693,-0.453642,0.00312243,0.149361,6.24143,0.181151,-16.7236,20010,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD020010.fits.gz
HD020234,,,,,,,,,,,20234,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD020234.fits.gz
HD020807,5914.86,2.36812,4.46109,0.00853418,-0.43833,0.00349664,0.0396636,0.165011,0.0,12.1658,20807,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD020807.fits.gz
HD021423,9401.9,4.92519,4.29472,0.00312175,-0.54788,0.00754471,0.00804121,102.41,0.580455,19.0072,21423,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD021423.fits.gz
HD022049,5341.92,2.65223,5.04413,0.00769203,-0.140622,0.00493727,0.0979511,0.310175,0.0,16.1656,22049,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD022049.fits.gz
HD022484,5866.35,2.79131,3.60428,0.00943084,-0.454246,0.00365025,0.165607,1.62152,0.727691,27.7633,22484,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD022484.fits.gz
HD023249,5123.95,3.51447,3.89164,0.0116085,-0.0286074,0.00537513,0.0390827,5.98323,0.260944,-5.37332,23249,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD023249.fits.gz
HD024616,5225.04,2.86228,3.46822,0.0109092,-0.707455,0.00397486,0.387713,3.67854,0.342536,100.504,24616,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD024616.fits.gz
HD024712,7357.62,4.04509,4.09484,0.0149615,-0.47401,0.00570606,0.174498,9.73463,0.214665,21.7539,24712,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD024712.fits.gz
HD025069,5093.63,3.9835,3.53186,0.0118323,0.0290547,0.0061253,0.0855754,5.23693,0.303218,38.8758,25069,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD025069.fits.gz
HD026612,6886.84,2.14444,3.57101,0.0142341,-0.15987,0.0040349,0.21782,191.558,0.473493,39.8676,26612,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD026612.fits.gz
HD027256,5191.22,4.43924,2.39269,0.0163895,-0.252556,0.00531927,0.215587,8.019,0.188528,35.663,27256,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD027256.fits.gz
HD027290,6987.95,2.82357,3.6891,0.00906132,-0.15297,0.00381021,0.173629,56.9227,0.161717,24.0687,27290,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD027290.fits.gz
HD027411,6835.32,2.90035,2.43834,0.0523208,0.0856794,0.00627571,-0.199897,17.7013,0.127872,40.6189,27411,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD027411.fits.gz
HD029138,24089.5,27.0137,2.97079,0.00314663,0.0272218,0.0148777,0.0,110.02,0.382019,-15.1096,29138,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD029138.fits.gz
HD030562,5914.05,3.89496,4.03271,0.0110679,0.030044,0.00451107,0.0262286,4.71411,0.296199,77.1618,30562,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD030562.fits.gz
HD030677,21851.1,18.908,2.55588,0.00295089,0.113167,0.00567715,0.0,167.742,0.414404,23.8838,30677,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD030677.fits.gz
HD032667,9198.46,4.28277,4.10137,0.00353171,0.185347,0.0055873,-0.0941269,117.17,0.564436,27.7725,32667,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD032667.fits.gz
HD033256,6230.35,2.46026,3.45914,0.00981382,-0.530041,0.00320867,0.211024,11.2354,0.109314,10.3222,33256,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD033256.fits.gz
HD034055,3219.77,1.55231,1.41271,0.0128251,0.0456951,0.00331252,0.0,25.0562,0.241315,42.0738,34055,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD034055.fits.gz
HD034295,7428.02,3.15667,3.66797,0.00897936,0.178904,0.0046837,-0.340115,54.8745,0.203447,20.3933,34295,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD034295.fits.gz
HD035072,5973.05,3.25092,2.89971,0.00938965,-0.441487,0.00378165,0.213049,4.37478,0.271522,44.5628,35072,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD035072.fits.gz
HD036646,,,,,,,,,,,36646,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD036646.fits.gz
HD036861,40590.8,77.9358,3.54513,0.0050301,0.485568,0.0132739,0.0,92.4406,0.730519,32.5315,36861,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD036861.fits.gz
HD036959,28336.3,17.3741,4.35753,0.000688821,-0.0228805,0.00265772,0.0,17.3716,0.146992,26.8269,36959,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD036959.fits.gz
HD037055,17337.1,4.52581,4.14878,0.00187215,-0.48093,0.00205769,0.0,111.344,0.776592,33.2052,37055,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD037055.fits.gz
HD037227,6716.12,1.73409,3.08571,0.00843976,-0.28642,0.00362921,0.35149,119.316,0.311481,43.5402,37227,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD037227.fits.gz
HD037490,23632.8,15.9875,3.41596,0.00279137,0.0396269,0.00494861,0.0,178.264,0.693048,24.7721,37490,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD037490.fits.gz
HD037495,6222.29,2.85928,3.3874,0.0101157,-0.360637,0.00385494,0.238306,31.4529,0.109319,38.7249,37495,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD037495.fits.gz
HD037811,5193.84,3.71968,2.56223,0.0145746,-0.181525,0.00514944,0.230646,8.5787,0.172723,-4.8684,37811,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD037811.fits.gz
HD038393,6386.01,2.61549,4.34456,0.00892119,-0.150193,0.00317191,0.0763401,9.30614,0.135379,-9.62144,38393,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD038393.fits.gz
HD039060,8101.76,7.1105,4.09674,0.00623652,-0.0174186,0.00442068,0.11897,111.25,0.380179,20.3861,39060,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD039060.fits.gz
HD040136,6964.46,3.27855,3.89256,0.00893969,-0.214876,0.00625612,0.0429752,16.0346,0.113979,-0.639899,40136,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD040136.fits.gz
HD042682,3648.65,0.811337,0.471856,0.00843138,-0.538832,0.00447524,0.766619,14.1241,0.183025,20.4062,42682,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD042682.fits.gz
HD043285,14569.0,3.07386,4.14271,0.00136897,0.0506779,0.00420179,0.0,218.115,0.587013,28.2616,43285,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD043285.fits.gz
HD043318,5988.21,2.56151,3.05938,0.0101332,-0.514704,0.00320141,0.182808,5.49528,0.200485,-39.8148,43318,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD043318.fits.gz
HD045067,5933.42,3.43843,3.41947,0.00976086,-0.413566,0.00428332,0.165822,7.33209,0.223303,47.769,45067,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD045067.fits.gz
HD045415,4818.14,3.55726,2.12225,0.0141145,-0.460222,0.00507369,0.338859,6.20763,0.234381,53.2747,45415,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD045415.fits.gz
HD045725,,,,,,,,,,,45725,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD045725.fits.gz
HD046185,25383.2,8.58307,4.141,0.00183166,-0.019638,0.00700023,0.0,149.093,0.385924,17.323,46185,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD046185.fits.gz
HD046462,12599.8,8.02837,3.98592,0.00319848,0.51074,0.00373346,-0.396876,19.4944,0.174683,27.3691,46462,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD046462.fits.gz
HD047116,10632.3,17.8476,3.61146,0.00930963,0.730333,0.00950784,-0.361058,23.1522,0.351862,9.71372,47116,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD047116.fits.gz
HD047306,9361.26,2.85812,2.45417,0.00133705,-0.339837,0.00575388,-0.361711,38.3133,0.148179,21.352,47306,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD047306.fits.gz
HD047839,45541.0,122.312,3.96411,0.00617534,0.340557,0.00647089,0.0,92.4063,0.546637,25.7157,47839,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD047839.fits.gz
HD048099,56605.6,17.0687,4.07678,0.0190472,0.310794,0.0160727,0.0,99.1206,0.684864,5.2608,48099,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD048099.fits.gz
HD048915,8829.42,3.42347,4.08315,0.00611971,0.0454379,0.0118001,-0.171886,14.4093,0.22994,-5.40629,48915,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD048915.fits.gz
HD049131,,,,,,,,,,,49131,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD049131.fits.gz
HD049331,3945.57,0.820478,0.133555,0.00864331,-0.228228,0.00823503,0.661785,11.6868,0.154214,21.588,49331,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD049331.fits.gz
HD049333,17846.0,10.4296,4.14479,0.0025636,-0.0375397,0.0053458,0.0,66.4715,0.498635,20.4719,49333,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD049333.fits.gz
HD049888,,,,,,,,,,,49888,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD049888.fits.gz
HD050241,7451.33,2.28386,3.61383,0.00850943,-0.0596757,0.00465506,0.115868,213.514,0.571168,14.2631,50241,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD050241.fits.gz
HD050896,,,,,,,,,,,50896,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD050896.fits.gz
HD051876,11915.5,17.8321,3.59954,0.0072013,0.367519,0.00619786,-0.283716,16.1839,0.286079,37.3526,51876,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD051876.fits.gz
