name,teff,e_teff,logg,e_logg,fe_h,e_fe_h,a_fe,vsini,e_vsini,v,eso_starid,spec_url
HD061429,11432.4,3.88026,3.15062,0.00173606,0.044968,0.00299982,-0.0532829,124.543,0.313289,0.387673,61429,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD061429.fits.gz
HD106068,11394.7,15.4093,1.91911,0.00790002,-0.143426,0.00837557,0.859626,35.3434,0.346837,-6.51897,106068,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD106068.fits.gz
HD221507,11326.9,4.37301,3.90865,0.00368625,0.182692,0.00558871,0.161538,26.8815,0.236029,0.64252,221507,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD221507.fits.gz
HD188294,11015.6,3.01453,4.04367,0.00108875,0.0534798,0.00218116,0.130697,181.515,0.395244,-8.22517,188294,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD188294.fits.gz
HD162305,10835.7,3.01509,4.11022,0.00229856,0.591955,0.00411097,-0.286383,86.157,0.35157,-14.3585,162305,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162305.fits.gz
HD105071,10744.0,13.041,1.80014,0.00706753,-0.0845237,0.00949446,0.934599,38.2591,0.318763,-6.63194,105071,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD105071.fits.gz
HD047116,10632.3,17.8476,3.61146,0.00930963,0.730333,0.00950784,-0.361058,23.1522,0.351862,9.71372,47116,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD047116.fits.gz
HD090882,10622.0,2.73193,3.95107,0.00142237,-1.40129,0.00545222,0.624658,112.943,0.604214,14.5273,90882,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD090882.fits.gz
HD162630,10493.7,2.33159,3.92421,0.00139553,-0.176871,0.00374031,-0.0561111,45.7443,0.196776,-10.5853,162630,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162630.fits.gz
HD137509,10451.4,19.599,3.0899,0.00953921,0.969914,0.0158683,-0.0905916,33.1114,0.364012,15.1652,137509,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD137509.fits.gz
HD162576,10416.5,5.68927,3.602,0.00306823,0.364854,0.00413083,-0.0376672,27.3998,0.175555,-12.5792,162576,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162576.fits.gz
HD162889,10334.2,4.68762,4.41624,0.00239156,-0.6447,0.00990575,-0.122511,77.5456,0.735736,-11.5291,162889,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162889.fits.gz
HD162780,10325.8,3.63851,3.55325,0.00149025,0.233198,0.00298782,-0.0419023,230.284,0.589927,-6.26427,162780,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162780.fits.gz
HD162781,10246.4,7.78006,4.27517,0.00278404,0.617446,0.0111365,-0.0390434,150.497,0.924292,-14.0184,162781,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162781.fits.gz
IC2391-0023,10226.2,4.10779,4.36543,0.00205019,-0.422112,0.00425503,0.0550317,47.5287,0.266884,22.1186,IC2391_23,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0023.fits.gz
HD162888,10156.0,11.2039,3.54286,0.0013569,-0.42388,0.00364393,0.326733,225.879,0.579287,-12.3138,162888,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162888.fits.gz
HD162817,10152.7,2.8343,3.66475,0.0020356,0.111373,0.00415787,-0.136393,64.6234,0.285086,-14.5623,162817,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162817.fits.gz
IC2391-0018,10122.0,11.5417,4.0931,0.00642157,0.971442,0.011737,-0.357847,16.9006,0.273613,16.4716,IC2391_18,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0018.fits.gz
HD084461,10115.9,5.96521,4.35025,0.00348062,0.833478,0.00409302,-0.27698,42.674,0.211043,4.84631,84461,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD084461.fits.gz
HD162393,9954.52,2230.19,4.05393,0.00203443,-0.550275,0.0126857,-0.0291342,141.87,0.687707,-9.94065,162393,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162393.fits.gz
HD062623,9921.22,14.7466,1.48018,0.00279902,0.0360355,0.00579709,0.389102,22.6562,0.366624,27.1258,62623,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD062623.fits.gz
HD162678,9908.41,6.58752,3.5296,0.00211689,0.0284963,0.00410997,-0.0280713,36.833,0.183371,-5.36152,162678,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162678.fits.gz
HD100841,9850.0,3.2246,3.01494,0.00135747,0.244374,0.0024623,-0.0296973,178.184,0.337148,-3.10661,100841,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD100841.fits.gz
IC2391-0029,9830.83,5.2637,4.19456,0.00326623,-1.07192,0.00909771,0.376065,101.983,0.78212,17.1917,IC2391_29,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0029.fits.gz
HD102878,9738.55,12.2954,1.47221,0.00248597,0.189044,0.034442,-0.255107,3.23859,1.70849,-9.14965,102878,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD102878.fits.gz
HD066698,9735.17,8.77124,3.15375,0.00435148,0.579833,0.00788604,-0.180196,48.4622,0.319498,24.203,66698,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD066698.fits.gz
HD094660,9617.62,13.6264,3.04135,0.0120317,0.987148,0.0448089,-0.114354,0.382913,0.0,17.4909,94660,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD094660.fits.gz
IC2391-0002,9569.8,3.20803,4.09689,0.00167029,-0.587114,0.00290684,-0.121159,106.507,0.438938,19.3086,IC2391_2,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0002.fits.gz
HD125248,9494.15,11.7159,3.93812,0.00741346,0.960729,0.0129021,-0.260816,9.1651,0.319146,-12.9509,125248,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD125248.fits.gz
HD021423,9401.9,4.92519,4.29472,0.00312175,-0.54788,0.00754471,0.00804121,102.41,0.580455,19.0072,21423,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD021423.fits.gz
IC2391-0047,9388.84,3.94316,4.31307,0.00297388,-0.732843,0.00671428,0.00790185,135.269,0.719559,28.626,IC2391_47,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/IC2391-0047.fits.gz
HD047306,9361.26,2.85812,2.45417,0.00133705,-0.339837,0.00575388,-0.361711,38.3133,0.148179,21.352,47306,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD047306.fits.gz
HD162725,9309.93,6.10949,3.05306,0.00402713,0.401382,0.00588943,-0.210548,28.1037,0.199501,-14.3926,162725,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162725.fits.gz
HD160529,9296.78,16.0766,1.28918,0.0075381,0.113065,0.0224417,0.619376,28.5694,0.725586,-32.0602,160529,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD160529.fits.gz
HD162679,9232.2,4.00342,3.0468,0.00211173,-0.46385,0.004134,-0.00966746,34.1619,0.161422,-17.5565,162679,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD162679.fits.gz
HD032667,9198.46,4.28277,4.10137,0.00353171,0.185347,0.0055873,-0.0941269,117.17,0.564436,27.7725,32667,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD032667.fits.gz
HD142983,9134.56,22.6335,1.3217,0.00870331,-0.741175,0.0168106,-0.280921,5.70948,1.16491,-25.009,142983,http://gal-02.sai.msu.ru/uves-pop/model_spec/fit_res/v221115/HD142983.fits.gz
