star,xslid,simbad,filename,ra,dec,teff,e_teff,logg,e_logg,feh,e_feh,comment
HD 224926,X0022,HD 224926,xsl_spectrum_X0022_merged_scl.fits,0.4560417,-3.0275,14448.0,391.0,3.700000047683716,0.23999999463558197,0.27000001072883606,0.07999999821186066,
HD 224926,X0224,HD 224926,xsl_spectrum_X0224_merged.fits,0.4560417,-3.0275,14448.0,391.0,3.700000047683716,0.23999999463558197,0.27000001072883606,0.07999999821186066,
HD 224926,X0280,HD 224926,xsl_spectrum_X0280_merged.fits,0.4560417,-3.0275,14448.0,391.0,3.700000047683716,0.23999999463558197,0.27000001072883606,0.07999999821186066,
HD 358,X0025,HD 358,xsl_spectrum_X0025_merged_ncl_ncge.fits,2.0969167,29.0904167,13076.0,354.0,3.4600000381469727,0.23999999463558197,0.4300000071525574,0.07999999821186066,
HD 1638,X0023,HD 1638,xsl_spectrum_X0023_merged.fits,5.1179583,-30.5555,4249.0,29.0,1.5099999904632568,0.14000000059604645,-0.75,0.05999999865889549,
HD 1638,X0180,HD 1638,xsl_spectrum_X0180_merged.fits,5.1179583,-30.5555,4249.0,29.0,1.5099999904632568,0.14000000059604645,-0.75,0.05999999865889549,
HD 1638,X0258,HD 1638,xsl_spectrum_X0258_merged.fits,5.1179583,-30.5555,4249.0,29.0,1.5099999904632568,0.14000000059604645,-0.75,0.05999999865889549,
HD 1638,X0286,HD 1638,xsl_spectrum_X0286_merged.fits,5.1179583,-30.5555,4249.0,29.0,1.5099999904632568,0.14000000059604645,-0.75,0.05999999865889549,
CL* NGC 121 T V8,X0385,CL* NGC 121 T V8,xsl_spectrum_X0385_merged_ncge.fits,6.7022083,-71.5473333,4243.0,68.0,0.3499999940395355,0.20000000298023224,-1.0700000524520874,0.14000000059604645,
CL* NGC 121 T V1,X0411,CL* NGC 121 T V1,xsl_spectrum_X0411_merged.fits,6.7352083,-71.5354444,3728.0,61.0,0.8500000238418579,0.1899999976158142,-0.7400000095367432,0.17000000178813934,
HD 2796,X0418,HD 2796,xsl_spectrum_X0418_merged.fits,7.8204583,-16.7946389,4701.0,47.0,1.409999966621399,0.15000000596046448,-2.5299999713897705,0.07000000029802322,
HD 2857,X0024,HD 2857,xsl_spectrum_X0024_merged.fits,7.974125,-5.2618889,7844.0,149.0,2.450000047683716,0.2199999988079071,-1.399999976158142,0.10999999940395355,
SV* HV 11223,X0420,SV* HV 11223,xsl_spectrum_X0420_merged.fits,8.0066667,-73.3763333,3562.0,58.0,-0.029999999329447746,0.1899999976158142,-0.30000001192092896,0.17000000178813934,"S-star signatures confirmed (ZrO, 940 nm; cf. Wood et al. 1983)"
HD 3008,X0744,HD 3008,xsl_spectrum_X0744_merged.fits,8.309625,-10.7285278,4349.0,67.0,0.6700000166893005,0.1899999976158142,-1.8200000524520874,0.12999999523162842,
HD 3883,X0747,HD 3883,xsl_spectrum_X0747_merged.fits,10.4001667,24.629,7567.0,150.0,3.5399999618530273,0.20999999344348907,0.6499999761581421,0.07000000029802322,
HD 4539,X0448,HD 4539,xsl_spectrum_X0448_merged.fits,11.87175,9.9821111,17303.0,469.0,4.840000152587891,0.23999999463558197,-0.03999999910593033,0.07999999821186066,
HD 4539,X0463,HD 4539,xsl_spectrum_X0463_merged.fits,11.87175,9.9821111,17303.0,469.0,4.840000152587891,0.23999999463558197,-0.03999999910593033,0.07999999821186066,
ISO-MCMS J004900.4-732224,X0001,ISO-MCMS J004900.4-732224,xsl_spectrum_X0001_merged_ncl.fits,12.251375,-73.3732778,nan,nan,nan,nan,nan,nan,
HD 4893,X0422,HD 4893,xsl_spectrum_X0422_merged.fits,12.3440833,-73.4786389,4109.0,28.0,2.2899999618530273,0.14000000059604645,0.029999999329447746,0.05000000074505806,
ISO-MCMS J004932.4-731753,X0002,ISO-MCMS J004932.4-731753,xsl_spectrum_X0002_merged_ncl.fits,12.3859583,-73.2978889,nan,nan,nan,nan,nan,nan,
ISO-MCMS J004950.3-731116,X0003,ISO-MCMS J004950.3-731116,xsl_spectrum_X0003_merged_scl.fits,12.458875,-73.1879167,3827.0,52.0,0.6800000071525574,0.1899999976158142,-0.5199999809265137,0.17000000178813934,
HD 4813,X0096,HD 4813,xsl_spectrum_X0096_merged_scl.fits,12.531625,-10.6443056,6153.0,96.0,4.25,0.14000000059604645,-0.14000000059604645,0.05999999865889549,
ISO-MCMS J005059.4-731914,X0009,ISO-MCMS J005059.4-731914,xsl_spectrum_X0009_merged_ncl.fits,12.7471667,-73.3203889,3806.0,51.0,0.7099999785423279,0.1899999976158142,-0.9200000166893005,0.17000000178813934,
HD 4906,X0753,HD 4906,xsl_spectrum_X0753_merged.fits,12.8085417,18.7903056,5164.0,67.0,3.7699999809265137,0.14000000059604645,-0.699999988079071,0.07000000029802322,
CL* NGC 288 OCH 531,X0756,CL* NGC 288 OCH 531,xsl_spectrum_X0756_merged.fits,13.171375,-26.5575,3675.0,38.0,1.0800000429153442,0.14000000059604645,-0.8799999952316284,0.09000000357627869,
CL* NGC 288 OCH 531,X0767,CL* NGC 288 OCH 531,xsl_spectrum_X0767_merged.fits,13.171375,-26.5575,3675.0,38.0,1.0800000429153442,0.14000000059604645,-0.8799999952316284,0.09000000357627869,
ISO-MCMS J005304.7-730409,X0029,ISO-MCMS J005304.7-730409,xsl_spectrum_X0029_merged_ncl.fits,13.270375,-73.0693056,nan,nan,nan,nan,nan,nan,
ISO-MCMS J005307.8-730747,X0034,ISO-MCMS J005307.8-730747,xsl_spectrum_X0034_merged_ncl.fits,13.2819583,-73.1299167,nan,nan,nan,nan,nan,nan,
ISO-MCMS J005314.8-730601,X0030,ISO-MCMS J005314.8-730601,xsl_spectrum_X0030_merged_ncl.fits,13.311125,-73.1002778,3762.0,38.0,1.1200000047683716,0.14000000059604645,-0.7099999785423279,0.09000000357627869,
ISO-MCMS J005332.4-730501,X0031,ISO-MCMS J005332.4-730501,xsl_spectrum_X0031_merged_scl.fits,13.3865,-73.0828333,4391.0,32.0,1.0499999523162842,0.14000000059604645,-0.5799999833106995,0.05999999865889549,
ISO-MCMS J005422.8-730105,X0038,ISO-MCMS J005422.8-730105,xsl_spectrum_X0038_merged_ncl.fits,13.5945,-73.0182778,nan,nan,nan,nan,nan,nan,
ISO-MCMS J005531.0-731018,X0039,ISO-MCMS J005531.0-731018,xsl_spectrum_X0039_merged_ncl.fits,13.8787917,-73.1719444,nan,nan,nan,nan,nan,nan,
CL* NGC 330 ROB A3,X0754,CL* NGC 330 ROB A3,xsl_spectrum_X0754_merged_scl.fits,14.0904167,-72.4599444,5427.0,74.0,0.8899999856948853,0.1899999976158142,-0.30000001192092896,0.14000000059604645,
CL* NGC 330 ROB A3,X0755,CL* NGC 330 ROB A3,xsl_spectrum_X0755_merged.fits,14.0904167,-72.4599444,5427.0,74.0,0.8899999856948853,0.1899999976158142,-0.30000001192092896,0.14000000059604645,
CL* NGC 330 ROB B38,X0757,CL* NGC 330 ROB B38,xsl_spectrum_X0757_merged.fits,14.0940833,-72.4766111,7515.0,96.0,1.5099999904632568,0.20999999344348907,-0.8899999856948853,0.09000000357627869,
ISO-MCMS J005622.2-730334,X0026,ISO-MCMS J005622.2-730334,xsl_spectrum_X0026_merged_scl.fits,14.0950417,-73.0594167,3847.0,52.0,0.9900000095367432,0.20000000298023224,-0.5799999833106995,0.17000000178813934,
