star,xslid,n_epochs,teff,e_teff,logg,e_logg,feh,e_feh,ra,dec,sp_type,otype,dist_pc,ebv_sfd98,ebv_sf11,binary,peculiar,filename,spec_url,comment
HD 164257,X0228,1,10885,296,3.67,0.24,0.73,0.08,270.03046,6.55392,A0,El*,225.9,0.1966,0.169,yes,no,xsl_spectrum_X0228_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0228_merged.fits.fits,
HD 143459,X0386,1,10689,290,4.01,0.24,-0.19,0.08,240.19846,-8.41133,A0V,HB*,142.2,0.2021,0.1738,no,yes,xsl_spectrum_X0386_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0386_merged.fits.fits,
HD 194453,X0196,2,10489,284,3.8,0.24,-0.02,0.08,306.35596,6.64181,A0III,*,196.8,0.1042,0.0896,no,no,xsl_spectrum_X0196_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0196_merged.fits.fits,K-band continuum wavy
HD 167946,X0460,1,10079,277,4.09,0.24,-0.47,0.1,274.30987,5.75358,A0,*,183.6,0.2329,0.2003,no,no,xsl_spectrum_X0460_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0460_merged.fits.fits,
HD 147550,X0245,1,10044,273,3.82,0.24,-0.26,0.1,245.66208,-2.07986,B9V,*,140.8,0.1521,0.1308,no,no,xsl_spectrum_X0245_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0245_merged.fits.fits,
HD 74721,X0874,1,9571,196,4.22,0.21,-0.57,0.09,131.49692,13.26347,A0V,HB*,376.0,0.032,0.0275,no,yes,xsl_spectrum_X0874_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0874_merged.fits.fits,
HD 72968,X0327,1,9569,190,3.67,0.21,0.44,0.07,128.8675,-7.98228,A1VpSrCr,a2*,103.9,0.0375,0.0323,no,yes,xsl_spectrum_X0327_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0327_merged.fits.fits,
HD 207222,X0730,3,9489,191,4.57,0.21,-0.36,0.09,326.73442,21.29742,A0,*,253.9,0.1027,0.0883,no,no,xsl_spectrum_X0730_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0730_merged.fits.fits,
HD 164967,X0468,1,9351,187,4.52,0.21,-0.29,0.09,270.83771,8.41933,A0,*,177.3,0.2012,0.173,no,no,xsl_spectrum_X0468_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0468_merged.fits.fits,
HD 174240,X0163,1,9262,189,3.65,0.21,-0.4,0.09,282.40496,0.83619,A1IV,*,173.1,5.8173,5.0029,no,no,xsl_spectrum_X0163_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0163_merged.fits.fits,
HD 175892,X0666,1,9014,180,4.48,0.21,-0.2,0.09,284.60346,-22.52947,A1V,*,87.3,0.1901,0.1635,no,no,xsl_spectrum_X0666_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0666_merged.fits.fits,
HD 166991,X0450,1,9008,179,4.49,0.21,-0.2,0.09,273.26596,2.98056,A1V,*,110.0,0.3225,0.2774,no,no,xsl_spectrum_X0450_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0450_merged.fits.fits,Artifacts in K-band (NIR arm)
HD 130095,X0370,1,8882,254,3.22,0.21,-1.68,0.1,221.71338,-27.24831,B9V,PM*,263.2,0.1212,0.1042,no,no,xsl_spectrum_X0370_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0370_merged.fits.fits,
HD 117880,X0626,1,8843,252,3.23,0.21,-1.65,0.1,203.37421,-18.51506,B9IV/V,PM*,370.7,0.0897,0.0772,no,no,xsl_spectrum_X0626_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0626_merged.fits.fits,
HD 173669,X0656,1,8841,176,4.06,0.21,-0.23,0.09,281.58183,5.15311,A0,*,281.9,1.2447,1.0704,no,no,xsl_spectrum_X0656_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0656_merged.fits.fits,
HD 128801,X0243,1,8774,161,2.84,0.21,-1.92,0.1,219.70038,7.91119,B9,HB*,317.4,0.0272,0.0234,no,yes,xsl_spectrum_X0243_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0243_merged.fits.fits,
HD 106304,X0614,1,8759,250,3.16,0.21,-1.67,0.1,183.47317,-40.8735,B9V,PM*,376.5,0.1011,0.087,no,no,xsl_spectrum_X0614_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0614_merged.fits.fits,
HD 172522,X0655,1,8752,175,3.31,0.21,0.06,0.07,280.09421,8.86844,A2III,*,779.9,0.4321,0.3716,no,no,xsl_spectrum_X0655_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0655_merged.fits.fits,
HD 28978,X0074,1,8708,173,3.36,0.21,-0.33,0.09,68.53446,5.56861,A2IV,*,135.3,0.2904,0.2497,no,no,xsl_spectrum_X0074_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0074_merged.fits.fits,
HD 42143,X0834,1,8681,172,3.36,0.21,-0.15,0.07,92.34708,6.2755,A0,*,340.2,0.3421,0.2942,no,no,xsl_spectrum_X0834_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0834_merged.fits.fits,Bad telluric correction (O2 ) in A-band (VIS arm)
HD 193281,X0194,2,8634,172,4.13,0.21,-0.36,0.09,305.11617,-29.19719,A2IV-V,*,163.1,0.095,0.0817,no,no,xsl_spectrum_X0194_merged_scl.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0194_merged_scl.fits.fits,
HD 161370,X0465,1,8568,170,4.39,0.21,-0.03,0.07,266.25367,5.52289,A0,*,329.7,0.1928,0.1658,no,no,xsl_spectrum_X0465_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0465_merged.fits.fits,
HD 204041,X0178,2,8470,168,4.38,0.21,-0.42,0.09,321.46492,0.53433,A1Vb,PM*,71.5,0.0503,0.0433,no,no,xsl_spectrum_X0178_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0178_merged.fits.fits,
HD 173073,X0657,1,8400,167,3.45,0.21,-0.26,0.09,280.86012,3.78569,A2/3IV/V,*,232.0,1.2603,1.0839,no,no,xsl_spectrum_X0657_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0657_merged.fits.fits,
HD 109307,X0894,1,8361,166,3.35,0.21,0.0,0.07,188.39258,24.28297,A4Vm,*,85.3,0.0184,0.0158,no,yes,xsl_spectrum_X0894_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0894_merged.fits.fits,
HD 116114,X0371,1,8358,166,4.25,0.21,0.81,0.07,200.44296,-18.74208,F0VpSrCrEu,PM*,139.0,0.085,0.0731,no,yes,xsl_spectrum_X0371_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0371_merged.fits.fits,
HD 169032,X0461,1,8301,166,3.48,0.22,-0.04,0.07,275.61254,7.22628,A2,*,380.1,0.2839,0.2442,no,no,xsl_spectrum_X0461_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0461_merged.fits.fits,
HD 165887,X0469,1,8297,165,3.62,0.21,-0.04,0.07,272.03017,2.21867,A2/3V,**,117.7,0.2608,0.2243,yes,no,xsl_spectrum_X0469_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0469_merged.fits.fits,
HD 166283,X0459,1,8296,165,3.94,0.21,0.04,0.07,272.43662,4.60311,A1V,*,145.9,0.1832,0.1575,no,no,xsl_spectrum_X0459_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0459_merged.fits.fits,
HD 18769,X0073,1,8248,163,3.42,0.21,0.25,0.07,45.47558,26.46233,kA2hA6mA7,*,68.2,0.2158,0.1856,no,yes,xsl_spectrum_X0073_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0073_merged.fits.fits,
HD 93329,X0885,1,8236,235,3.31,0.21,-1.32,0.1,161.65267,11.18411,A0,HB*,435.0,0.029,0.025,no,yes,xsl_spectrum_X0885_merged.fits,http://xsl.u-strasbg.fr/data/DR3/xsl_spectrum_X0885_merged.fits.fits,
