star,panel_center,lam_vac,species,blended,sep_A,offset_kms
HD164257,4550.7,4550.742,Fe II,no,99.00,0.66
HD164257,4390.9,4386.609,Fe II,no,1.06,2.05
HD164257,4134.2,4129.904,Fe II,no,2.15,7.98
HD164257,4183.0,4174.628,Fe II,no,4.23,4.30
HD143459,4410.1,4418.059,Fe II,no,99.00,5.44
HD143459,4550.7,4550.742,Fe II,no,99.00,4.61
HD143459,4535.3,4535.237,Ti II,yes,0.19,3.31
HD143459,4390.9,4386.609,Fe II,no,1.06,5.46
HD143459,4134.2,4129.904,Fe II,no,2.15,4.35
HD143459,4287.6,4291.433,Ti II,no,2.35,3.50
HD143459,4183.0,4174.628,Fe II,no,4.23,3.58
HD194453,4410.1,4418.059,Fe II,no,99.00,1.36
HD194453,4550.7,4550.742,Fe II,no,99.00,1.98
HD194453,4535.3,4535.237,Ti II,yes,0.19,0.66
HD194453,4390.9,4386.609,Fe II,no,1.06,4.10
HD194453,4134.2,4129.904,Fe II,no,2.15,3.63
HD194453,4287.6,4291.433,Ti II,no,2.35,0.00
HD194453,4183.0,4174.628,Fe II,no,4.23,3.58
HD167946,4550.7,4550.742,Fe II,no,99.00,-3.95
HD167946,4535.3,4535.237,Ti II,yes,0.19,-3.97
HD167946,4390.9,4386.609,Fe II,no,1.06,5.46
HD167946,4134.2,4129.904,Fe II,no,2.15,4.35
HD167946,4287.6,4291.433,Ti II,no,2.35,14.68
HD167946,4183.0,4174.628,Fe II,no,4.23,6.45
HD147550,4410.1,4418.059,Fe II,no,99.00,5.44
HD147550,4550.7,4550.742,Fe II,no,99.00,1.32
HD147550,4535.3,4535.237,Ti II,yes,0.19,1.98
HD147550,4390.9,4386.609,Fe II,no,1.06,6.14
HD147550,4134.2,4129.904,Fe II,no,2.15,3.63
HD147550,4287.6,4291.433,Ti II,no,2.35,1.40
HD147550,4183.0,4174.628,Fe II,no,4.23,5.73
HD074721,4410.1,4418.059,Fe II,no,99.00,4.76
HD074721,4550.7,4550.742,Fe II,no,99.00,4.61
HD074721,4535.3,4535.237,Ti II,yes,0.19,0.66
HD074721,4390.9,4386.609,Fe II,no,1.06,4.78
HD074721,4134.2,4129.904,Fe II,no,2.15,4.35
HD074721,4287.6,4291.433,Ti II,no,2.35,2.80
HD074721,4183.0,4174.628,Fe II,no,4.23,5.73
HD164967,4550.7,4550.742,Fe II,no,99.00,5.27
HD164967,4390.9,4386.609,Fe II,no,1.06,15.02
HD174240,4390.9,4386.609,Fe II,no,1.06,5.46
HD117880,4410.1,4418.059,Fe II,no,99.00,4.08
HD117880,4550.7,4550.742,Fe II,no,99.00,3.95
HD117880,4535.3,4535.237,Ti II,yes,0.19,1.98
HD117880,4390.9,4386.609,Fe II,no,1.06,4.78
HD117880,4134.2,4129.904,Fe II,no,2.15,4.35
HD117880,4287.6,4291.433,Ti II,no,2.35,2.80
HD117880,4183.0,4174.628,Fe II,no,4.23,4.30
HD128801,4550.7,4550.742,Fe II,no,99.00,1.32
HD128801,4535.3,4535.237,Ti II,yes,0.19,-5.95
HD128801,4134.2,4129.904,Fe II,no,2.15,3.63
HD106304,4410.1,4418.059,Fe II,no,99.00,6.12
HD106304,4550.7,4550.742,Fe II,no,99.00,2.64
HD106304,4535.3,4535.237,Ti II,yes,0.19,0.00
HD106304,4390.9,4386.609,Fe II,no,1.06,5.46
HD106304,4134.2,4129.904,Fe II,no,2.15,3.63
HD106304,4287.6,4291.433,Ti II,no,2.35,-0.70
HD106304,4183.0,4174.628,Fe II,no,4.23,4.30
