lo,hi
3499.15,3540.81
3998.07,4079.94
4126.65,4141.65
4142.37,4231.70
4231.93,4318.53
4366.64,4378.42
4382.48,4421.78
4432.84,4440.21
4440.92,4474.25
4479.47,4498.01
4500.22,4504.85
4507.25,4511.88
4514.20,4519.01
4519.17,4537.93
4538.83,4562.22
4570.91,4587.55
4615.58,4625.31
4651.65,4660.77
4700.30,4707.02
4735.79,4741.02
4822.71,4831.63
4887.89,4897.18
4906.02,4923.98
4942.08,4956.27
4956.44,4961.33
5000.67,5010.97
5039.84,5044.95
5054.99,5060.10
5096.22,5104.60
5165.72,5201.23
5222.67,5241.00
5244.55,5268.63
5294.74,5322.09
5323.42,5334.56
6155.25,6162.33
6345.94,6351.47
6370.62,6375.77
6453.23,6460.98
7895.69,7901.12
9094.69,9099.97
